religion,district,subdistrict,pop_p,pop_m,pop_f,cases_p,cases_m,cases_f,ins_p,ins_pb,ins_m,ins_mb,ins_f,ins_fb,b1_p,b1_pb,b1_m,b1_mb,b1_f,b1_fb,bl_p,bl_pb,bl_m,bl_mb,bl_f,bl_fb,df_p,df_pb,df_m,df_mb,df_f,df_fb,dd_p,dd_pb,dd_m,dd_mb,dd_f,dd_fb
moslems,Northern,Jenin,40555,19853,20702,1242,608,634,33,2,20,0,13,2,813,3,423,2,390,1,323,14,126,7,197,7,59,1,29,1,30,0,14,10,10,8,4,2
moslems,Northern,Nazareth,18019,8806,9213,510,249,261,13,0,7,0,6,0,290,4,147,3,143,1,148,18,65,12,83,6,51,5,23,5,28,0,8,3,7,2,1,1
moslems,Northern,Beisan,12672,6656,6016,255,134,121,14,0,9,0,5,0,144,4,85,3,59,1,67,5,26,3,41,2,21,1,10,1,11,0,9,4,4,2,5,2
moslems,Northern,Tiberias,16546,8460,8086,294,163,131,15,0,11,0,4,0,148,0,90,0,58,0,89,4,36,2,53,2,32,0,21,0,11,0,10,6,5,3,5,3
moslems,Northern,Haifa,52830,28181,24649,1125,626,499,36,5,18,3,18,2,659,2,384,0,275,2,317,14,145,10,172,4,92,11,61,9,31,2,21,7,18,5,3,2
moslems,Northern,Acre,31905,16582,15323,809,455,354,38,0,30,0,8,0,418,2,275,2,143,0,275,14,112,5,163,9,57,1,25,0,32,1,21,5,13,2,8,3
moslems,Northern,Safad,33975,16905,17070,545,271,274,21,0,11,0,10,0,262,6,142,3,120,3,169,13,66,11,103,2,76,5,42,2,34,3,17,5,10,4,7,1
christians,Palestine,ALL,91398,45896,45502,1940,927,1013,100,3,57,3,43,0,1110,10,555,5,555,5,515,13,212,6,303,7,162,1,79,1,83,0,53,9,24,5,29,4
christians,Southern,ALL,15155,8059,7096,336,185,151,9,1,7,1,2,0,240,0,135,0,105,0,70,1,30,0,40,1,16,0,12,0,4,0,1,1,1,1,0,0
christians,Southern,Gaza,897,444,453,17,10,7,0,0,0,0,0,0,14,0,10,0,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
christians,Southern,Beersheba,153,78,75,6,5,1,0,0,0,0,0,0,4,0,3,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
christians,Southern,Jaffa,9921,5064,4857,201,99,102,4,0,3,0,1,0,146,0,70,0,76,0,37,0,15,0,22,0,14,0,11,0,3,0,0,0,0,0,0,0
christians,Southern,Ramle,4184,2473,1711,112,71,41,5,1,4,1,1,0,76,0,52,0,24,0,28,1,13,0,15,1,2,0,1,0,1,0,1,1,1,1,0,0
christians,Jerusalem,ALL,38488,18567,19921,978,428,550,70,1,35,1,35,0,514,3,234,1,280,2,287,6,112,4,175,2,69,0,33,0,36,0,38,5,14,3,24,2
christians,Jerusalem,Hebron,124,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
christians,Jerusalem,Bethlehem,10628,4841,5787,410,189,221,41,0,23,0,18,0,218,0,96,0,122,0,119,1,59,1,60,0,21,0,9,0,12,0,11,2,2,1,9,1
christians,Jerusalem,Jerusalem,20309,10221,10088,341,125,216,23,1,7,1,16,0,142,3,59,1,83,2,116,4,33,3,83,1,36,0,17,0,19,0,24,2,9,1,15,1
christians,Jerusalem,Jericho,263,170,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
christians,Jerusalem,Ramallah,7164,3273,3891,227,114,113,6,0,5,0,1,0,154,0,79,0,75,0,52,2,20,1,32,1,12,0,7,0,5,0,3,1,3,1,0,0
