religion,age_group,pop_p,pop_m,pop_f,cases_p,cases_m,cases_f,ins_p,ins_pb,ins_m,ins_mb,ins_f,ins_fb,b1_p,b1_pb,b1_m,b1_mb,b1_f,b1_fb,bl_p,bl_pb,bl_m,bl_mb,bl_f,bl_fb,df_p,df_pb,df_m,df_mb,df_f,df_fb,dd_p,dd_pb,dd_m,dd_mb,dd_f,dd_fb
christians,not_recorded,19,10,9,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
jews,total,174610,88100,86510,1156,597,559,249,1,118,0,131,1,,,,,,,,,,,,,,,,,,,,,,,,
jews,0-1,5149,2703,2446,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
jews,1-2,4309,2200,2109,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
jews,2-3,4799,2427,2372,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
jews,3-4,4582,2346,2236,4,2,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
jews,4-5,4668,2368,2300,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
jews,0-5,23507,12044,11463,7,5,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
jews,5-10,20095,10259,9836,20,12,8,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
jews,10-15,13252,6787,6465,31,19,12,9,0,7,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,
jews,15-20,13489,6568,6921,41,25,16,9,0,6,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,
jews,20-25,19771,9750,10021,91,59,32,35,0,17,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,
jews,25-30,22047,11241,10806,128,67,61,59,0,29,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,
jews,30-35,16200,8741,7459,127,70,57,44,0,25,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,
jews,35-40,10331,5364,4967,80,45,35,16,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,
jews,40-45,7969,3985,3984,91,55,36,17,0,12,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,
jews,45-50,5816,2812,3004,58,24,34,13,1,4,0,9,1,,,,,,,,,,,,,,,,,,,,,,,,
jews,50-55,5823,2796,3027,76,31,45,9,0,0,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,
jews,55-60,4385,2097,2288,70,38,32,10,0,2,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,
jews,60-65,4623,2164,2459,91,41,50,8,0,1,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,
jews,65-70,2826,1303,1523,55,23,32,7,0,1,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,
jews,70+,4170,1981,2189,190,83,107,12,0,5,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,
jews,not_recorded,306,208,98,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
others,total,10101,5090,5011,186,112,74,7,0,5,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,
others,0-1,379,199,180,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
others,1-2,286,157,129,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
others,2-3,377,204,173,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
others,3-4,324,156,168,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
others,4-5,331,164,167,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
others,0-5,1697,880,817,4,3,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
others,5-10,1308,672,636,6,1,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
others,10-15,920,495,425,5,2,3,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
others,15-20,570,282,288,4,3,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
others,20-25,809,378,431,9,5,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
others,25-30,963,492,471,20,14,6,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,
others,30-35,788,399,389,16,11,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
others,35-40,638,311,327,18,11,7,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
others,40-45,575,259,316,9,7,2,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
others,45-50,397,210,187,10,7,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
others,50-55,356,163,193,9,4,5,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,
others,55-60,241,137,104,9,6,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
others,60-65,276,127,149,17,10,7,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
others,65-70,175,92,83,10,9,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
others,70+,387,192,195,40,19,21,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
others,not_recorded,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
