district,subdistrict,church,persons,males,females
Northern,ALL,syrian_orthodox,53,29,24
Northern,ALL,latin,6946,3518,3428
Northern,ALL,melkite,11609,5778,5831
Northern,ALL,maronite,2909,1455,1454
Northern,ALL,armenian_catholic,29,22,7
Northern,ALL,syrian_catholic,27,5,22
Northern,ALL,assyrian_catholic,52,11,41
Northern,ALL,armenian_gregorian,492,243,249
Northern,ALL,coptic,26,16,10
Northern,ALL,anglican,2423,1598,825
Northern,ALL,presbyterian,89,63,26
Northern,ALL,lutheran,20,8,12
Northern,ALL,various_unclassified,1744,918,826
Northern,Tulkarm,total_christians,356,203,153
Northern,Tulkarm,orthodox_jerusalem,171,90,81
Northern,Tulkarm,syrian_orthodox,1,0,1
Northern,Tulkarm,latin,69,42,27
Northern,Tulkarm,melkite,9,9,0
Northern,Tulkarm,maronite,9,4,5
Northern,Tulkarm,armenian_gregorian,3,2,1
Northern,Tulkarm,coptic,1,0,1
Northern,Tulkarm,anglican,6,4,2
Northern,Tulkarm,various_unclassified,87,52,35
Northern,Nablus,total_christians,1214,615,599
Northern,Nablus,orthodox_jerusalem,613,293,320
Northern,Nablus,latin,208,99,109
Northern,Nablus,melkite,31,17,14
Northern,Nablus,maronite,14,8,6
Northern,Nablus,armenian_catholic,2,2,0
Northern,Nablus,syrian_catholic,1,1,0
Northern,Nablus,armenian_gregorian,4,2,2
Northern,Nablus,anglican,287,165,122
Northern,Nablus,presbyterian,5,5,0
Northern,Nablus,lutheran,2,2,0
Northern,Nablus,various_unclassified,47,21,26
Northern,Jenin,total_christians,851,412,439
Northern,Jenin,orthodox_jerusalem,383,174,209
Northern,Jenin,latin,324,167,157
Northern,Jenin,melkite,26,19,7
Northern,Jenin,maronite,5,4,1
Northern,Jenin,syrian_catholic,19,0,19
Northern,Jenin,anglican,62,34,28
Northern,Jenin,various_unclassified,32,14,18
Northern,Nazareth,total_christians,7384,3629,3755
Northern,Nazareth,orthodox_jerusalem,3200,1500,1700
Northern,Nazareth,latin,1701,860,841
Northern,Nazareth,melkite,1612,791,821
Northern,Nazareth,maronite,318,154,164
Northern,Nazareth,armenian_catholic,6,6,0
Northern,Nazareth,syrian_catholic,1,1,0
Northern,Nazareth,anglican,376,225,151
Northern,Nazareth,presbyterian,9,5,4
Northern,Nazareth,lutheran,12,6,6
Northern,Nazareth,various_unclassified,149,81,68
Northern,Beisan,total_christians,477,271,206
Northern,Beisan,orthodox_jerusalem,183,111,72
Northern,Beisan,latin,142,77,65
Northern,Beisan,melkite,66,37,29
Northern,Beisan,maronite,3,2,1
Northern,Beisan,armenian_gregorian,24,12,12
Northern,Beisan,anglican,36,21,15
Northern,Beisan,various_unclassified,23,11,12
Northern,Tiberias,total_christians,1734,892,842
Northern,Tiberias,orthodox_jerusalem,327,163,164
Northern,Tiberias,latin,363,174,189
Northern,Tiberias,melkite,872,458,414
Northern,Tiberias,maronite,17,8,9
Northern,Tiberias,syrian_catholic,1,1,0
Northern,Tiberias,armenian_gregorian,24,12,12
Northern,Tiberias,anglican,31,26,5
Northern,Tiberias,presbyterian,17,3,14
Northern,Tiberias,various_unclassified,82,47,35
Northern,Haifa,total_christians,16492,8629,7863
Northern,Haifa,orthodox_jerusalem,3222,1657,1565
Northern,Haifa,syrian_orthodox,49,27,22
Northern,Haifa,latin,2196,1135,1061
Northern,Haifa,melkite,6472,3196,3276
Northern,Haifa,maronite,1586,785,801
Northern,Haifa,armenian_catholic,20,14,6
Northern,Haifa,syrian_catholic,4,1,3
Northern,Haifa,assyrian_catholic,21,11,10
Northern,Haifa,armenian_gregorian,422,212,210
Northern,Haifa,coptic,22,15,7
Northern,Haifa,anglican,1340,979,361
Northern,Haifa,presbyterian,46,39,7
Northern,Haifa,lutheran,3,0,3
Northern,Haifa,various_unclassified,1089,558,531
Northern,Acre,total_christians,7672,3809,3863
Northern,Acre,orthodox_jerusalem,3130,1552,1578
Northern,Acre,syrian_orthodox,3,2,1
Northern,Acre,latin,1823,898,925
Northern,Acre,melkite,2144,1069,1075
Northern,Acre,maronite,146,104,42
Northern,Acre,armenian_catholic,1,0,1
Northern,Acre,assyrian_catholic,31,0,31
Northern,Acre,armenian_gregorian,9,2,7
Northern,Acre,coptic,3,1,2
Northern,Acre,anglican,195,83,112
Northern,Acre,presbyterian,1,1,0
Northern,Acre,lutheran,3,0,3
Northern,Acre,various_unclassified,183,97,86
Northern,Safad,total_christians,1575,810,765
Northern,Safad,orthodox_jerusalem,107,66,41
Northern,Safad,latin,120,66,54
Northern,Safad,melkite,377,182,195
Northern,Safad,maronite,811,386,425
Northern,Safad,syrian_catholic,1,1,0
Northern,Safad,armenian_gregorian,6,1,5
Northern,Safad,anglican,90,61,29
Northern,Safad,presbyterian,11,10,1
Northern,Safad,various_unclassified,52,37,15
