city	lat	lon	source	kima_id	kima_name_rom	wikidata_qid	decision	decided_by	n_records
Kfar Yeshua	32.683597	35.153900	kima	19294	Kefar Yehoshu'a (Israel)	Q2889616	matched	agent	1
Kfar Yideyah	32.345700	34.899500	kima	831	Kefar Yedidya (Israel)	Q2920134	matched	agent	1
Khamra							unmatched-ambiguous	agent	1
Kharwa							unmatched-ambiguous	agent	1
Kibbutz Affikim	32.679600	35.577800	kima	554	Afikim (Israel)	Q383280	matched	agent	1
Kibbutz Dalia	32.590278	35.077500	kima	886	Daliyya (Israel)	Q1000997	matched	agent	1
Kibbutz Hamarking							unmatched-junk	agent	1
Kibbutz Kinneret	32.713400	35.562500	kima	1669	Kinneret (Kevutsa) (Israel)	Q2296107	matched	auto	1
Kibutz Affiking	32.679600	35.577800	kima	554	Afikim (Israel)	Q383280	matched	agent	1
Kibutz Dalia	32.590278	35.077500	kima	886	Daliyya (Israel)	Q1000997	matched	agent	1
Kinneret (Kibbutz)	32.713400	35.562500	kima	1669	Kinneret (Kevutsa) (Israel)	Q2296107	matched	agent	1
Kinnereth							unmatched-ambiguous	human	1
Kiriat Haroshet	32.723889	35.127222	kima	21920	Kiryat Haroshet (Israel)	Q1743479	matched	agent	1
Kiriat Kinzet							unmatched-junk	agent	1
Kiryat Amal							unmatched-no-kima-entry	human	1
Kiryat Ata	32.800000	35.100000	kima	477	Kiryat Ata (Israel)	Q152602	matched	agent	1
Kiryat Eliahu							unmatched-no-kima-entry	agent	1
Kiryat Eliyahu							unmatched-no-kima-entry	agent	1
Kiryat Haim / Kibbutz Amal							unmatched-ambiguous	agent	1
Kiryat Haim|Kiryat-Haim Tribune Amal	32.828333	35.067222	kima	479	Kiryat Hayyim (Haifa, Israel)	Q2655674	matched	agent	1
Kiryat Kamal							unmatched-no-kima-entry	human	1
Kiryat Shmuel	31.769444	35.211111	kima	22902	Kiryat Shemuel (Jerusalem, Israel)	Q185687	matched	auto	1
Kiryat Yam	32.833056	35.066389	kima	480	Kiryat Yam (Israel)	Q152387	matched	agent	1
Kiryat-Haim Tribune Amal	32.828333	35.067222	kima	479	Kiryat Hayyim (Haifa, Israel)	Q2655674	matched	agent	1
Kufr 'Ata	32.800000	35.100000	kima	477	Kiryat Ata (Israel)	Q152602	matched	agent	1
Kufr Ata	32.800000	35.100000	kima	477	Kiryat Ata (Israel)	Q152602	matched	agent	1
Kufretta	32.800000	35.100000	kima	477	Kiryat Ata (Israel)	Q152602	matched	agent	1
Kuryat el Yahu							unmatched-no-kima-entry	agent	1
Kvutzat Kinereth	32.713400	35.562500	kima	1669	Kinneret (Kevutsa) (Israel)	Q2296107	matched	agent	1
Lydda	31.950000	34.900000	kima	178	Lod (Israel)	Q207540	matched	auto	1
Maagan	32.706297	35.599897	kima	189	Ma'agan (Israel)	Q2916656	matched	agent	1
Majamil							unmatched-ambiguous	agent	1
Majd al-Krum	32.921389	35.256944	kima	19615	Majd al-Kurum (Israel)	Q2777868	matched	auto	1
Majdal	32.839078	35.499294	kima	6904	Migdal (Israel)	Q2916182	matched	auto	1
Mashmar Hyam							unmatched-ambiguous	agent	1
Massada	32.683397	35.598500	kima	219	Masada (Israel)	Q2888546	matched	auto	1
Menahemia Colony	32.667700	35.554000	kima	18297	Menahemya (Israel)	Q2917281	matched	agent	1
Merchavia	32.605850	35.307250	kima	205	Merhavya (Israel)	Q2920170	matched	auto	1
Mes-hah	32.687139	35.420222	kima	1666	Kefar Tavor (Israel)	Q1186956	matched	agent	1
Meshek Yagour	32.741500	35.077197	kima	771	Yagur (Israel)	Q586687	matched	agent	1
Mizpa	32.790556	35.509444	kima	21700	Mitspa (Israel)	Q2776808	matched	agent	1
Mizra	32.650700	35.287797	kima	224	Mizra (Israel)	Q2889536	matched	agent	1
Mount Tabor							unmatched-ambiguous	human	1
Mt. Tabor							unmatched-ambiguous	human	1
Na'an	31.885000	34.858611	kima	16	Na'an (Israel)	Q1026840	matched	agent	1
Nabi Sha'man Hagelil							unmatched-ambiguous	agent	1
Naffuleh	32.607778	35.289722	kima	18417	Afula (Israel)	Q152462	matched	agent	1
Nahla							unmatched-ambiguous	agent	1
Nahlat Yacob							unmatched-ambiguous	agent	1
Nahliel Yahud							unmatched-no-kima-entry	agent	1
Natamia	32.328611	34.856667	kima	24	Netanya (Israel)	Q192225	matched	agent	1
Natania	32.328611	34.856667	kima	24	Netanya (Israel)	Q192225	matched	agent	1
Natsera (Nazareth)	32.702103	35.297850	kima	18	Nazareth (Israel)	Q430776	matched	agent	1
Natseria	32.702103	35.297850	kima	18	Nazareth (Israel)	Q430776	matched	agent	1
Nebertz							unmatched-junk	agent	1
Nes Ziona	31.933333	34.800000	kima	15	Nes Tsiyyona (Israel)	Q168162	matched	auto	1
Netanya|Nathania	32.328611	34.856667	kima	24	Netanya (Israel)	Q192225	matched	agent	1
Neve Sha'anan	32.790278	35.015833	kima	21497	Neve Sha'anan (Haifa, Israel)	Q2919842	matched	agent	1
Nur El Shams	32.318711	35.058786	kima	76253	Nur Shams Camp (West Bank)	Q7069998	matched	agent	1
Nur Shams	32.318711	35.058786	kima	76253	Nur Shams Camp (West Bank)	Q7069998	matched	agent	1
Nve Shaanan (Haifa)	32.790278	35.015833	kima	21497	Neve Sha'anan (Haifa, Israel)	Q2919842	matched	agent	1
P.T	32.083333	34.883333	kima	426	Petah Tikva (Israel)	Q190828	matched	agent	1
Petach Tikva	32.083333	34.883333	kima	426	Petah Tikva (Israel)	Q190828	matched	auto	1
Petah Tikva	32.083333	34.883333	kima	426	Petah Tikva (Israel)	Q190828	matched	auto	1
Petah Tikvah	32.083333	34.883333	kima	426	Petah Tikva (Israel)	Q190828	matched	auto	1
Port Mason							unmatched-junk	agent	1
Qiryat Ata	32.800000	35.100000	kima	477	Kiryat Ata (Israel)	Q152602	matched	auto	1
Ramallah	31.896944	35.201667	kima	453	Ramalla (West Bank)	Q158119	matched	auto	1
Ramat Gan	32.070007	34.823541	kima	777	Ramat Gan (Israel)	Q192807	matched	agent	1
Ramatby							unmatched-junk	agent	1
Ramleh	31.927500	34.862500	kima	456	Ramla (Israel)	Q221447	matched	agent	1
Ras El Ein							unmatched-ambiguous	agent	1
Rechavia	31.774475	35.211997	kima	21723	Rehavya (Jerusalem, Israel)	Q654128	matched	auto	1
Rehovoth	31.891389	34.807778	kima	562	Rehovot (Israel)	Q207350	matched	agent	1
Roy	32.710667	35.104722	wikidata			Q11878352	matched	human	1
Rumat Neshanan	32.790278	35.015833	kima	21497	Neve Sha'anan (Haifa, Israel)	Q2919842	matched	agent	1
Sajour							unmatched-ambiguous	agent	1
Sakhnin	32.866667	35.300000	kima	95	Sakhnin (Israel)	Q168330	matched	agent	1
Salem							unmatched-ambiguous	agent	1
Sedjerah	32.758333	35.401944	kima	733	Ilaniyya (Israel)	Q2916589	matched	agent	1
Shar Amakim	32.721944	35.111667	kima	258	Sha'ar Ha'amakim (Israel)	Q135484	matched	agent	1
Shatel Yahud							unmatched-no-kima-entry	agent	1
Shavei Tzion / Nahariya							unmatched-ambiguous	agent	1
Shavei Zion	32.979597	35.082200	kima	21799	Shave Tsiyyon (Israel)	Q571191	matched	agent	1
Shenglia	32.155556	34.842222	kima	700	Herzeliyya (Israel)	Q152491	matched	human	1
Shezlia	32.155556	34.842222	kima	700	Herzeliyya (Israel)	Q152491	matched	agent	1
Shunat Zarefin							unmatched-ambiguous	agent	1
Smillel							unmatched-junk	agent	1
St. Hashomer							unmatched-ambiguous	agent	1
Staerneck							unmatched-junk	agent	1
Tel Chai	33.235000	35.578333	kima	16154	Tel Hai (Israel)	Q2094886	matched	agent	1
Tel Joseph	32.556497	35.401000	kima	186	Tel-Yosef (Israel)	Q2917286	matched	agent	1
Tel Mond	32.254444	34.918611	kima	21757	Tel Mond (Israel)	Q2304754	matched	auto	1
Tel Yousef	32.556497	35.401000	kima	186	Tel-Yosef (Israel)	Q2917286	matched	agent	1
Tel-Yusef	32.556497	35.401000	kima	186	Tel-Yosef (Israel)	Q2917286	matched	agent	1
Tell Addashume	32.655200	35.301097	kima	280	Tel Adashim (Israel)	Q2916649	matched	agent	1
Tiberias (Kibbutz Afikim?)							unmatched-ambiguous	agent	1
Tiberias / Kinneret							unmatched-ambiguous	agent	1
Tiberias S/D							unmatched-ambiguous	agent	1
Tiberias|P. & P. Tiberias	32.789722	35.524722	kima	807	Tiberias (Israel)	Q151920	matched	agent	1
Tiberias|Tiberia	32.789722	35.524722	kima	807	Tiberias (Israel)	Q151920	matched	agent	1
Tira	32.766667	34.966667	kima	756	Tirat Karmel (Israel)	Q168215	matched	human	1
Tirat Carmel / Haifa	32.766667	34.966667	kima	756	Tirat Karmel (Israel)	Q168215	matched	human	1
Tirat Zvi	32.421944	35.528333	kima	757	Tirat Tsvi (Israel)	Q550025	matched	auto	1
Tirat Zvi	32.421944	35.528333	kima	757	Tirat Tsvi (Israel)	Q550025	matched	agent	1
Tirch							unmatched-ambiguous	agent	1
Tireh Village	32.766667	34.966667	kima	756	Tirat Karmel (Israel)	Q168215	matched	human	1
Tireh, Haifa	32.766667	34.966667	kima	756	Tirat Karmel (Israel)	Q168215	matched	human	1
Tireh-Haifa	32.766667	34.966667	kima	756	Tirat Karmel (Israel)	Q168215	matched	human	1
Tireh-Hayark	32.766667	34.966667	kima	756	Tirat Karmel (Israel)	Q168215	matched	human	1
Tireh/Athlit							unmatched-ambiguous	agent	1
Tires	32.766667	34.966667	kima	756	Tirat Karmel (Israel)	Q168215	matched	human	1
Tires|Tireh	32.766667	34.966667	kima	756	Tirat Karmel (Israel)	Q168215	matched	human	1
Turaan							unmatched-no-kima-entry	agent	1
Vilhelma	32.023300	34.913500	kima	26771	Wilhelma (Israel)	Q2906526	matched	agent	1
W. el Nisnass	32.816300	34.996300	wikidata	85346	Wadi Nisnas (Haifa, Israel)	Q2920415	matched	agent	1
Wadi Kavara							unmatched-no-kima-entry	agent	1
Wadi Nisnas	32.816300	34.996300	wikidata	85346	Wadi Nisnas (Haifa, Israel)	Q2920415	matched	agent	1
Yavne'el / Tiberias							unmatched-ambiguous	agent	1
Yavneel	32.709497	35.499400	kima	18477	Yavne'el (Israel)	Q1676894	matched	auto	1
Yavneel Colony	32.709497	35.499400	kima	18477	Yavne'el (Israel)	Q1676894	matched	agent	1
Yavniel Colony	32.709497	35.499400	kima	18477	Yavne'el (Israel)	Q1676894	matched	agent	1
Zamarin	32.570833	34.951667	kima	8254	Zikhron Ya'akov (Israel)	Q198399	matched	auto	1
Zeeb							unmatched-no-kima-entry	agent	1
Zekra Yacov	32.570833	34.951667	kima	8254	Zikhron Ya'akov (Israel)	Q198399	matched	agent	1
Zichron	32.570833	34.951667	kima	8254	Zikhron Ya'akov (Israel)	Q198399	matched	auto	1
Zichron Yaacob	32.570833	34.951667	kima	8254	Zikhron Ya'akov (Israel)	Q198399	matched	agent	1
Zichron Yaacov	32.570833	34.951667	kima	8254	Zikhron Ya'akov (Israel)	Q198399	matched	auto	1
Zichron Yaakov|Bat shlomo - Zichron Jacob	32.570833	34.951667	kima	8254	Zikhron Ya'akov (Israel)	Q198399	matched	agent	1
Zichron Yacov	32.570833	34.951667	kima	8254	Zikhron Ya'akov (Israel)	Q198399	matched	agent	1
Zichron Yakov|Zichron Yaakov	32.570833	34.951667	kima	8254	Zikhron Ya'akov (Israel)	Q198399	matched	agent	1
Zicron	32.570833	34.951667	kima	8254	Zikhron Ya'akov (Israel)	Q198399	matched	agent	1
Zikhron Yaacov	32.570833	34.951667	kima	8254	Zikhron Ya'akov (Israel)	Q198399	matched	auto	1
Zikhron Yacob	32.570833	34.951667	kima	8254	Zikhron Ya'akov (Israel)	Q198399	matched	agent	1
Zikron Yaacov	32.570833	34.951667	kima	8254	Zikhron Ya'akov (Israel)	Q198399	matched	agent	1
