n	id	date	publication	title	snippet
30	hbkr19450214-01.2.38	14 February 1945	hbkr	מצוקת החולה המושבתי	"<div class=""txtsearchsnippet"">... בשלש עשמת ספות. מתנחל מו-פ עם הממשלח על פתיחת <b class=""highlightcolor"">בית חולים ממשלתי</b> גדול למושבות בקרבת תל־אביב. . המשלה מגובת ...</div>"
31	hzh19430921-01.2.23	21 September 1943	hzh	היש להגדיל m מסי העירייה ?	"<div class=""txtsearchsnippet"">... וגם לעי ריית• מדוע אין תל אביב זכאית לקיבל <b class=""highlightcolor"">בית חולים ממשלתי</b> לפחיות כמו חייפר‭', ‬• ןעליונ לר י ...</div>"
32	hazmantlv19440525-01.2.20	25 May 1944	hazmantlv	למרגלות הכרמל	"<div class=""txtsearchsnippet"">כית החולים של חקהלח קיים בחיפה <b class=""highlightcolor"">בית חולים ממשלתי</b> גדול■ ורחב־ידים, אשר היישוב העברי אינו נזקק ...</div>"
33	dav19420807-01.2.44	7 August 1942	dav	ירווטליט	"<div class=""txtsearchsnippet"">... לבית וווליט זה הם יהודים;הודות -לתיקונים יוועיט שנעשו:בו. כידוע;קיים <b class=""highlightcolor"">בית ? חולים־ ממשלתי.</b> קבוע למחלות . טובקות ניוושליט, בבית ...</div>"
34	itonamami19480109-01.2.19	9 January 1948	itonamami	^שולי היום התמונה	"<div class=""txtsearchsnippet"">... יפה לבכות ילך ואשה (ערבײם)... אך כשיורים ברופא בכותלי <b class=""highlightcolor"">בית חולים ממשלתי,</b> או כשיורים באחיות של בית חולים יהוךי ...</div>"
35	haretz19460314-01.2.40	14 March 1946	haretz	"על הממשלה להחזיר לתל־אביב "" חלק מהמסים הנגבים מתושביה"""	"<div class=""txtsearchsnippet"">... אשפת העיתה לא דאגה לכך, שהממשלה תקים בתל אמב <b class=""highlightcolor"">בית חולים ממשלתי</b> עם 300 מסות, לפחות. בבית החולים למחלות ...</div>"
36	yarden19350208-01.2.32	8 February 1935	yarden	תל־אביב	"<div class=""txtsearchsnippet"">... בתול־כרם' העוזר לנהג מחמר י&lt;1סי! מתול־כרם נהרג, הנהג נאסר. <b class=""highlightcolor"">בית חולים ממשלתי</b> בתול-כרם כפי שמודיעים מתוליכרם' אומרת חממשלח להקים ...</div>"
37	dav19330720-01.2.26	20 July 1933	dav	הא_^ה?	"<div class=""txtsearchsnippet"">... 000‬ נפשות) ישנם ב־220 מיטות‭), ‬בבית החולים הדסה עם <b class=""highlightcolor"">בית־ חולים ממשלתי</b> ומוסדות פרטיים‭, (‬ז. א. שתי מיטות על ...</div>"
38	dav19430512-01.2.61	12 May 1943	dav	שרפת קיוסקים ?א תשליט עברית	"<div class=""txtsearchsnippet"">... ועדת המצב קידמה בברכה י החלטת הממשלה על הקמת <b class=""highlightcolor"">בית חולים ממשלתי</b> לבני מושבות בביה""ח היר־ קח. בת''א, ועתי' ...</div>"
39	haretz19350312-01.2.1	12 March 1935	haretz	מי1ם ליום	"<div class=""txtsearchsnippet"">... שתתי היהודים. מבתי־הולים יהודיים יש לדרוש• מלוי תגאים, ששום <b class=""highlightcolor"">בית חולים ממשלתי</b> לא יבול היח לעמוד : בהם. בקשות ...</div>"
40	hmf19411028-01.2.19	28 October 1941	hmf	הדיון על שינויי הממשלה בתקציב עירית ודא	"<div class=""txtsearchsnippet"">... כל מטה. או שנציע פתרון אחר: תפתח נא הממשלה <b class=""highlightcolor"">בית חולים ממשלתי</b> בת""א ותחזיקו כולו על חשבונה ואז נוכל ...</div>"
41	hbkr19410220-01.2.28	20 February 1941	hbkr	ויי! נוחו ומ	"<div class=""txtsearchsnippet"">... בית חולים טוב והטיפול בו מצויין. אין לפחד מהמונח <b class=""highlightcolor"">בית חולים ממשלתי.</b> בית חחויליט י צייד לעבור לרשות הממשלה ...</div>"
42	dav19420807-01.2.43	7 August 1942	dav	מכתבים מאתרת ה_^ויב נתקבלו	"<div class=""txtsearchsnippet"">... י_/ראשוך לציץ!רוברט _ניפוס בית _בניפין רח'יברכוכבא, פתח-תקוה;אס תר ברקוביצי, <b class=""highlightcolor"">בית חולים ממשלתי</b> צפת לאוני בלוט!שלומית ‭;, ‬ פרידה ברףוה, ...</div>"
43	hbkr19440301-01.2.42	1 March 1944	hbkr	^־^1 שחהים - על בסיס טריטוריאלי	"<div class=""txtsearchsnippet"">... בית חולים ?פפשלתי בעל ‭300‬ מטות לפחות. פווע יש <b class=""highlightcolor"">בית חולים ממשלתי</b> לחיפה . יפו, שכפ •מקיפוח אחוים ואייו ...</div>"
44	yarden19350304-01.2.7	4 March 1935	yarden	ישיבת מועצת עירית תל־אביב	"<div class=""txtsearchsnippet"">... חממשלתי ביפו. מר רוקח אומר שכל זמן שלא יסודר <b class=""highlightcolor"">בית חולים ממשלתי</b> בסביבה עברית ועם פרסונל עברי אין אפשרות ...</div>"
45	ytlv19411215-01.2.1	15 December 1941	ytlv	יראש. י חע * יריה ?.1 עם הצעת התקציב I העירוני לשנת הכספים &#8237;1942/43 &#8236;	
46	haretz19440521-01.2.46.3	21 May 1944	haretz	Page 4 Advertisements Column 3	"<div class=""txtsearchsnippet"">... של פל ההפציפ שנמצאיפ פדידה פ. שךידן יפו, ממול <b class=""highlightcolor"">בית חולים ממשלתי</b> ^ חע, 1ר ו ות ""מ ""‭^^?1 ...</div>"
47	haretz19341003-01.2.32	3 October 1934	haretz	"מצב הבריאות בא""י בשנת &#8237;1933 &#8236;"	"<div class=""txtsearchsnippet"">... הילדים בבתי הטם' היהודיים. נתי תולים בגליל בצפת נוסד <b class=""highlightcolor"">בית חולים ממשלתי</b> למלהמה במחלות שונות כאזור זה הכולל גם ...</div>"
48	haretz19440515-01.2.10	15 May 1944	haretz	עירית תל־אביב לעזרת הפליטים	"<div class=""txtsearchsnippet"">... בהככמת הסתדרות ,. הדסה""• בעוד שלשה חדשים יפתח בבת־ים <b class=""highlightcolor"">בית חולים ממשלתי</b> לחולי רוח שבו יאוכ־ כנו גם ‭120‬ ...</div>"
49	hazmantlv19440515-01.2.16	15 May 1944	hazmantlv	עירת ודא על מדוכת האישפח לחולים והאיבסוז לעולים	"<div class=""txtsearchsnippet"">... בית החולים הממשלתי ""ירקון"" שיוחזק על חשבון הממשלה, להקים <b class=""highlightcolor"">בית חולים ממשלתי</b> למושבות ע״י החרמת בית מתאים לכך. ולהרשות ...</div>"
50	dav19340711-01.2.25	11 July 1934	dav	מצב הבריאות בארץ	"<div class=""txtsearchsnippet"">... פרינציפ ללכת לבתי החולים של ן!כ1טשלח?לא ולא. ישנו בחיפה <b class=""highlightcolor"">בית־ חולים ממשלתי</b> שחיהו-דים משתמשים ; בו- במידה . רחביה ...</div>"
51	haolam19420319-01.2.6	19 March 1942	haolam	על השרות הסוציאלי	"<div class=""txtsearchsnippet"">... מופרז והממשלה עוסקת זה עשר שנים בתכנית של הקמת <b class=""highlightcolor"">בית חולים ממשלתי.</b> הקימונו כפר עבוד־, . לנערים בגבת. ויש ...</div>"
52	yarden19351028-01.2.41	28 October 1935	yarden	תל-אביב	"<div class=""txtsearchsnippet"">... של בית חספר, ראש חעיר מר מ . דיונגוףי <b class=""highlightcolor"">בית חולים ממשלתי</b> לרמלה בימים אלד. יגשו לבנין בית חולים ...</div>"
53	hmf19420127-01.2.39	27 January 1942	hmf	"670 אלף לא""י הכנסות&#8237;700,&#8236; אלף לא""י הוצאות -המת""התסציב"	"<div class=""txtsearchsnippet"">... הממשלתית לבית החו־ לים ""הדסה"" אם ייפתח בתל אביב <b class=""highlightcolor"">בית חולים ממשלתי</b> ' כמו בחיפה ובי־ פו_. כי על ...</div>"
54	dav19410220-01.2.46	20 February 1941	dav	תקציב ההכנסה של עירית ת&#8237;8'&#8236; נתקבל בעיקרו _563 לירות בלי השתתפות הממשלה ושכונות י9ו _^	"<div class=""txtsearchsnippet"">... את בית־ החולים העירוני לרשות _המסילה. _נדדלש מבנה הקמת <b class=""highlightcolor"">בית חולים _ממשלתי</b> ית""א וגם השתתפות בהחזקת בית~חולים העירוני. אגב, ...</div>"
55	haretz19311206-01.2.19	6 December 1931	haretz	>שמוצים;.לשם בזבוז	"<div class=""txtsearchsnippet"">... בוטלה, • או נדחתה לזמן רב, :גם התכנית לבות <b class=""highlightcolor"">בית חולים ממשלתי</b> לחולי רו־ בירושלים, שבנחיצותו ודאי שאין הממשלה ...</div>"
56	haretz19470214-01.2.98	14 February 1947	haretz	ירושלים החדשה	"<div class=""txtsearchsnippet"">... ‭:83‬ בית הולים העינים על הר אבו תור אינו <b class=""highlightcolor"">בית חולים ממשלתי</b> כי אש של חברת צדקה אנגלית. בית ...</div>"
57	haretz19420709-01.2.29	9 July 1942	haretz	מכתבים מארצות האויב	"<div class=""txtsearchsnippet"">... מפום מת בנימין רחוב בר־כוכבזי ק־ תקוה: אסתר ברקומצי <b class=""highlightcolor"">בית חולים ממשלתי</b> צפת: אלקס ברגר? רחוב י' ‭55‬ קרית ...</div>"
58	ytlv19440915-01.2.7	15 September 1944	ytlv	"תל־אביב בתש""ד"	"<div class=""txtsearchsnippet"">... קשה מאד, באה בשנה האחרונה הקלה פורתא עם פתיחת <b class=""highlightcolor"">בית־ חולים ממשלתי,</b> המכיל שמונים מיטות, . בשביל תושבי המושבות ...</div>"
59	haolam19480122-01.2.11	22 January 1948	haolam	שבוע הימים בארץ	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">בית חולים ממשלתי</b> — לערבים בית החולים הממשלתי כביתיצפםה נפטר ...</div>"
60	hzh19420317-01.2.24	17 March 1942	hzh	"&#8237;*""_""_^_TOhi_^_Sw_^_P^^ &#8237;_*_""&#8236; ־ &#8237;! ?&#8236; &#8237;:' v&#8236;לי: &#8237;,1.:? .t ]_#BvJ i I. : >_e _^1:1 - w am? >&#8236;ו &#8237;.' ? -?:? 1&#8236;ו &#8237;;i., 9 fay _^ em 1 1 w: WI 1&#8236; ־ _. ?"	"<div class=""txtsearchsnippet"">... זד, עשר י שנים עושקת בתכנית של י הקמת <b class=""highlightcolor"">בית 'חולים ממשלתי‭',</b> ‬והענין אינו חישוב: ' בתכנית המרי ־ ...</div>"
