n	id	date	publication	title	snippet
71	haretz19440711-01.1.4	11 July 1944	haretz	Page 4	"<div class=""txtsearchsnippet"">... הנזכרים. ן ראשון לעדים היה המומחה לרנםגן מ־ ן <b class=""highlightcolor"">בית־החולים הממשלתי</b> , שהביא ל י בית הדין הצלום פרקי ...</div>"
72	hbkr19390925-01.1.3	25 September 1939	hbkr	Page 3	"<div class=""txtsearchsnippet"">... - ישבה אף היא במכונית. נפצעה קשה והובאה אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בבית־ .</div>"
73	hmf19470526-01.1.4	26 May 1947	hmf	Page 4	"<div class=""txtsearchsnippet"">... ודר, שנפצעו בשעת ההתקפה על בית־הסוהר. הם הועברו מ־ <b class=""highlightcolor"">_בית־החולים הממשלתי</b> בחיפה לבית הסוהר בעכו, במקום שהם נמצאים ללא ...</div>"
74	hzh19381025-01.1.1	25 October 1938	hzh	Page 1	"<div class=""txtsearchsnippet"">... משפחותיהם ?ומכריהם של. הנתלים. הגוויות הועברו לכפרם במכונית של <b class=""highlightcolor"">_בית־החולים הממשלתי‭:.</b> ‬</div>"
75	hzh19381219-01.1.1	19 December 1938	hzh	Page 1	"<div class=""txtsearchsnippet"">... ה. ־ מ. מק־מיכאל שישתתף בטכס •הפתיחה הרשמית של <b class=""highlightcolor"">בית?החולים הממשלתי</b> . בבת גלים, אשריתק . יים באותו ־ ...</div>"
76	itim19470109-01.1.1	9 January 1947	itim	Page 1	"<div class=""txtsearchsnippet"">... פרופיסור יונג; ד״ר אלכסנדר צימרמן, מנהל המחלקה הפסיכית של <b class=""highlightcolor"">בית־החולים הממשלתי</b> בריאלטה; ד״ר קארל היינמאן, רופא-עצבים מפורסם, מחסידי אומות ...</div>"
77	hayomjlm19481031-01.1.1	31 October 1948	hayomjlm	Page 1	"<div class=""txtsearchsnippet"">... בית לחם. בשלושה מקרים כיונו הערבים אש תותחים מכיוון <b class=""highlightcolor"">בית־החולים הממשלתי</b> לשעבר בבית צפאפת וכן ממר אלאיס. במשך השבוע ...</div>"
78	haretz19370302-01.1.6	2 March 1937	haretz	Page 6	"<div class=""txtsearchsnippet"">... ידם. הרצח האכזרי הזה, כמו גם רצח חאסיות־הרחמניות של <b class=""highlightcolor"">בית־החולים הממשלתי</b> ביפו וכמו זריקת פצצות ויריות על ילדים ותינוקות, ...</div>"
79	ahr19461124-01.1.4	24 November 1946	ahr	Page 4	"<div class=""txtsearchsnippet"">... המכוניות. הפצוע וכן- גופת ההרוג, שלא זוהתה, נאספו אל <b class=""highlightcolor"">_בית־החולים הממשלתי.</b> גסמנע _כןןכודה בגמל עלי זן 8ורה, בן M ...</div>"
80	ahr19470216-01.1.3	16 February 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... אחסר מוחמר' בן ‭. 18‬ במצב רציני הובאו אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b></div>"
81	ahr19470122-01.1.3	22 January 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... נפל ובגום לו שבר ברגלו השמאלית ובמרפקחו נאסף אל <b class=""highlightcolor"">_בית־החולים הממשלתי.</b> נוטר נדרס עבדאללה מוחמר עבואללה, נוטר, נדרם על־ידי ...</div>"
82	ahr19470528-01.1.3	28 May 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... בהר הכרמל, נגרם פצע מיריד, כירך. הוא נאסף אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה ומת למחרת בבוקר. פקיד דואר נאשם במעילה ...</div>"
83	ahr19470930-01.1.4	30 September 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... מיותרים. רכים מהפצועים הם מרסיסי זכוכית. הם נאספו אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> וקיבלו שם עזרה‭"", ‬מד. א‭"". ‬ טיפל בזז ...</div>"
84	ahr19470725-01.1.9	25 July 1947	ahr	Page 9	"<div class=""txtsearchsnippet"">... ‭, 19‬מכפר ג'מעין בנפח־שכם, עובו בנאפ""י. הוא נאסף אל <b class=""highlightcolor"">_בית־החולים הממשלתי</b> בחיפה, ומצבו משתפר. אורח ושמה"" בכיית כוויות בגוף"" ...</div>"
85	ahr19440627-01.1.4	27 June 1944	ahr	Page 4	"<div class=""txtsearchsnippet"">... חיים, לאחר שהמשטרה הגיעה למקום, הועברה הגופה לבדיקה אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> משערים כי הצעירה איבדה את עצמה לדעת בבליעת ...</div>"
86	ahr19471210-01.1.4	10 December 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... שטון, בן 48 ונפצע פצע־ מוות בחזהו. נאסף אי <b class=""highlightcolor"">בית־החולים הממשלתי</b> ומת שם. שטרן הוא פליט מגרמניה ועמד לנסוע ...</div>"
87	ahr19480115-01.1.3	15 January 1948	ahr	Page 3	"<div class=""txtsearchsnippet"">... (‬כי ן ""צלפים יהודים"" ירו על רופאים ואחיות של <b class=""highlightcolor"">_בית־החולים הממשלתי</b> להולי־רות ע""י בת־ים, וכי הפניות לרשויות המוסמכות בדבר ...</div>"
88	ahr19440606-01.1.4	6 June 1944	ahr	Page 4	"<div class=""txtsearchsnippet"">... השוטר הפ־ צוע הגיע _לתחנת־משטרה ומשם נא־ סף זיל <b class=""highlightcolor"">_בית־החולים הממשלתי.</b></div>"
89	ahr19451102-01.1.8	2 November 1945	ahr	Page 8	"<div class=""txtsearchsnippet"">... הוא : יעקב גולדברג (גרינברג ‭, (?‬הגרפה נאספה אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפד‭., ‬ עפולה ורהוכות על־יו עפולה פוצצו הלילה ...</div>"
90	dav19360616-01.1.4	16 June 1936	dav	Page 4	"<div class=""txtsearchsnippet"">... עזרה ראשונה ע""י שוטר מאומן לכך ובמכונית הובל אל <b class=""highlightcolor"">_בית־החולים הממשלתי</b> לחיפה, אבל בדרך מת‭.. ‬ בדיקת ‭"". '‬נעשתה ...</div>"
91	haretz19470817-01.1.1	17 August 1947	haretz	Page 1	"<div class=""txtsearchsnippet"">... בולאנס של ""הצלב האדום"", שהעביר את ההרוגים לחדר־המתים של <b class=""highlightcolor"">בית־החולים הממשלתי</b> ביפו. דקות מספר לאחר העברת הגויות הגיעי' למקום ...</div>"
92	haretz19430708-01.1.1	8 July 1943	haretz	Page 1	"<div class=""txtsearchsnippet"">מתי יוקם <b class=""highlightcolor"">בית־החולים הממשלתי</b> בתל־־אביב ?-הועלה מחיר החלב בעיר</div>"
93	haretz19450813-01.1.1	13 August 1945	haretz	Page 1	"<div class=""txtsearchsnippet"">... פםירת הגב' דבורה ליפשיץ זיל הרופאיפ, הפקידיפ והעופדיפ של <b class=""highlightcolor"">בית־החולים הממשלתי</b> בבת־ים היום כשלשים לפטירת ראש משפחתנו די ברוך ...</div>"
94	hmf19471210-01.1.1	10 December 1947	hmf	Page 1	"<div class=""txtsearchsnippet"">... בגיל עמידה, שנהרגו שלשום ביפו והובאו ל""הדםה"" תל־אביב מ־ <b class=""highlightcolor"">בית־החולים הממשלתי</b> ביפו, זוהו אתמול. ואלה שמותיהם: צכי ליכד, בן ...</div>"
