id	date	pub	title	gap	nearest	rivals	chars	band	new	forms
dav19371130-01.2.8	1937-11-30	dav	שוב נפצעו 3 יהודים בווו ענתפת	226	safed	hadassah	1687	far	seen	spelled
haretz19380120-01.2.72.1	1938-01-20	haretz	Page 10 Advertisements Column 1	29	haifa		1223	near	seen	spelled
dav19380203-01.2.55	1938-02-03	dav	"נו,עשה ,סולל בונה"""	306	haifa		4171	far	seen	spelled
dav19380203-01.2.57	1938-02-03	dav	וברי סיכום &#8237;7 0&#8236; ב.ופטור	20	haifa		8043	near	seen	spelled
dav19380209-01.2.82	1938-02-09	dav	למשפט .רוצח אמו בגית'הדז לערעורים	20	haifa		775	near	seen	spelled
haolam19380210-01.2.8	1938-02-10	haolam	"באר""ך־יטזראל"	152	jaffa		15924	far	seen	spelled
dav19380220-01.2.71	1938-02-20	dav	ענודות ממשלתיות חושות	309	jerusalem		779	far	new	indefinite
dav19380221-01.2.46	1938-02-21	dav	באיגוד המקצועי	128	haifa	hadassah	2960	near	seen	spelled
hbkr19380225-01.2.40	1938-02-25	hbkr	ה. מ. נפרד מחיפה	126	haifa	english	1989	near	seen	spelled
hbkr19380315-01.2.22	1938-03-15	hbkr	תקציב העיויה בחיפה(&#8237;39&#8236;־$&#8237;193&#8236;)	1709	haifa		2561	far	new	spelled
dav19380329-01.2.2	1938-03-29	dav	שוב הציף גל טרור את הארץ	136	safed	hadassah	4907	near	seen	spelled
dav19380329-01.2.71	1938-03-29	dav	לאחר הזוועה בלול עכו - צפת הנעלמים עוד לא נמגאו&#8237;-.&#8236; גויות 	554	safed	hadassah	1425	far	seen	spelled
dav19380413-01.2.45	1938-04-13	dav	חינה בשנת 1937	102	haifa		2908	near	seen	spelled
haretz19380508-01.2.25	1938-05-08	haretz	המסחר והתעשיה בחיפה בשי 1937	175	haifa		3404	far	new	spelled
hbkr19380511-01.2.71	1938-05-11	hbkr	&#8237;$*#2* &#8236;	328	haifa		822	far	new	abbreviated
hzh19380511-01.2.43	1938-05-11	hzh	ח1 ־ פ ה	327	haifa		3546	far	new	spelled
dav19380627-01.2.7	1938-06-27	dav	הטרור 20 שעות	20	haifa		1704	near	seen	spelled
haretz19380627-01.2.1	1938-06-27	haretz	רצחו ערבי חולה בחיפה	137	nablus		541	near	seen	maqaf
dav19380704-01.2.13	1938-07-04	dav	פצצת אל מכונית הדר הכרט?	20	haifa		264	near	seen	spelled
haretz19380803-01.2.4	1938-08-03	haretz	פצצה למכובית־משא יהודית בחיפה	136	haifa		1740	near	seen	spelled
hzh19380808-01.2.45	1938-08-08	hzh	צ 13 ת	36	safed	hadassah	1905	near	seen	spelled
dav19380814-01.2.100	1938-08-14	dav	מידיעות המשטרה	641	jaffa		1587	far	new	spelled
dav19380814-01.2.102	1938-08-14	dav	הודעות רשמיות	666	jaffa		1152	far	new	spelled
kolisraeljlm19380818-01.2.15	1938-08-18	kolisraeljlm	לא נכון!	396	jaffa		5568	far	new	abbreviated
hzh19380819-01.2.5	1938-08-19	hzh	"_מוומר&#8237;^""&#8236;לדי &#8237;7t? _^t\\&#8236; י _ןיי _ל_911_יל _ףן"	1266	jaffa		1870	far	new	spelled
dav19380908-01.2.10	1938-09-08	dav	ארונו של מ._אלייניקוב בחיפה	457	jerusalem		2039	far	new	spelled
ytlv19380915-01.2.4	1938-09-15	ytlv	UNKNOWN	276	tiberias		5474	far	new	spelled
dav19380925-01.2.85	1938-09-25	dav	"ה ה קתדרות בשנת תר&ג&#8237;_-_""&#8236;ח"	31	haifa		41929	near	seen	spelled
dav19381007-01.2.39	1938-10-07	dav	Untitled	711	tiberias		3316	far	new	spelled
haretz19381009-01.2.57	1938-10-09	haretz	בחיפה	166	telaviv	hadassah	4449	far	new	spelled
dav19381101-01.2.100	1938-11-01	dav	דיני מות	588	nablus		1580	far	new	spelled
hbkr19381104-01.2.55	1938-11-04	hbkr	עובי משא פצצה	20	haifa		363	near	seen	maqaf
haretz19381108-01.2.1	1938-11-08	haretz	הודעות רשמיות על המתרחש בארץ	1055	gaza		1574	far	new	spelled
hashaah19381112-01.2.26	1938-11-12	hashaah	לשיפור מצב העבודה בחיפה	220	nablus		4948	far	new	spelled
dav19381116-01.2.35.2	1938-11-16	dav	Page 3 Advertisements Column 2	20	haifa		545	near	seen	spelled
haretz19381116-01.2.38.1	1938-11-16	haretz	Page 6 Advertisements Column 1	45	haifa		979	near	seen	spelled
hbkr19381118-01.2.28	1938-11-18	hbkr	בית החולים הממשלתי בחיפה ן י	20	haifa		1918	near	seen	spelled
dav19381208-01.2.32	1938-12-08	dav	&#8237;^^^&#8236; .מן*	19	haifa		9195	near	seen	spelled
dav19381208-01.2.33	1938-12-08	dav	Untitled	666	acre		4794	far	seen	spelled
dav19381220-01.2.77	1938-12-20	dav	חיפה	36	haifa	english	6449	near	seen	spelled
dav19381222-01.2.83	1938-12-22	dav	הנציב העליון בחיפה	25	haifa		109	near	seen	spelled
haretz19381222-01.2.61	1938-12-22	haretz	ה.מ.הנציבר,עליוןן	161	telaviv		3084	far	new	spelled
dav19381223-01.2.66	1938-12-23	dav	נפתח נית־החולים הממשלתי החוש בחיפה	13	haifa		2861	near	seen	spelled
haretz19381223-01.2.19	1938-12-23	haretz	UNKNOWN	60	jaffa		3314	near	seen	spelled
haretz19381223-01.2.5	1938-12-23	haretz	חנוכת בית־החולים הממשלתי בחיפה	17	haifa		2224	near	seen	maqaf
hbkr19381223-01.2.57	1938-12-23	hbkr	! טכס הנוכת בית החולים הממשלתי בחיפה ו	20	haifa		3504	near	seen	spelled
dav19381226-01.2.11	1938-12-26	dav	שוב ופצועים בחיפה	93	jaffa	hadassah	1113	near	seen	spelled
dav19381227-01.2.16	1938-12-27	dav	מחאת הועד הלאומ	124	haifa		1387	near	seen	spelled
hbkr19381227-01.2.17	1938-12-27	hbkr	הועד הלאומי מזוזה	40	haifa		365	near	seen	abbreviated
hzh19381227-01.2.17	1938-12-27	hzh	מדוע לא תורגמו הנאומים בחיפה לעברית &#8237;.? &#8236;	22	haifa		411	near	seen	spelled
hzh19390102-01.2.51	1939-01-02	hzh	Untitled	686	jerusalem		1576	far	new	spelled
haretz19390115-01.2.32	1939-01-15	haretz	לתקנת שרות הגריאות שלקהילת חיפה!	282	jaffa	hadassah	6324	far	new	spelled
