n	id	date	publication	title	snippet
52	difaa19370504-01.1.3	4 May 1937	difaa	Page 3	"<div class=""txtsearchsnippet"">... بتعب توفي على اثره . وقد نقلت جثته إلى <b class=""highlightcolor"">المستشفى الحكومي</b> ثم سامت الى المجلس الاسلامي الاعلى للقيام بمراسيم ...</div>"
53	difaa19380620-01.1.4	20 June 1938	difaa	Page 4	"<div class=""txtsearchsnippet"">... مقهى هناك مات فجأة بالسكتة القلبية. وقد نقل إلى <b class=""highlightcolor"">المستشفى الحكومي</b> في يانا الشريح جثته ( اليوم ) والاذن ...</div>"
54	difaa19400510-01.1.2	10 May 1940	difaa	Page 2	"<div class=""txtsearchsnippet"">... شجنت الكميات المذكورة ومقدارها ٨٥٥,٩٥٣ صندوقاً الموالي التالية :من <b class=""highlightcolor"">حيفا</b> ٩٥١ رو ٤٦٩ وقاً،</div>"
55	difaa19410909-01.1.2	9 September 1941	difaa	Page 2	"<div class=""txtsearchsnippet"">... سي حتى سقط عنه وفاضت روحه، وقد نقل الى <b class=""highlightcolor"">المستشفى الحكومي</b> وحولت اوراقه امين الى القائمقام فوافق على تشريح ...</div>"
56	difaa19360812-01.1.5	12 August 1936	difaa	Page 5	"<div class=""txtsearchsnippet"">... | . اعطاء العامل اليهودي اعمالا في سكة حديد <b class=""highlightcolor"">حيفا</b> بدلا من العمال العرب الدين اضربوا وقد وعدهم برفع ...</div>"
57	difaa19400102-01.1.4	2 January 1940	difaa	Page 4	"<div class=""txtsearchsnippet"">رئيس محكمة مركزية تل أبيب المستر ادواردز الى مركزية <b class=""highlightcolor"">حيفا</b> ، وسينقل رئيس مركزية <b class=""highlightcolor"">حيفا</b> المستر شرول الى القدس، ...</div>"
58	difaa19371013-01.1.5	13 October 1937	difaa	Page 5	"<div class=""txtsearchsnippet"">... واقفاً في الشارع العام . وقد نقل المذكور إلى <b class=""highlightcolor"">المستشفى الحكومي</b> ، وفارق الحياة بعد وصوله اليه بمدة وجيزة ...</div>"
59	difaa19370711-01.1.3	11 July 1937	difaa	Page 3	"<div class=""txtsearchsnippet"">... الكلية العربية يتبارى غداً على ملعب الكلية العربية منتخب <b class=""highlightcolor"">حيفا</b> مع منتخب القدس على الملك غازي وذلك في الساعة ...</div>"
60	difaa19401031-01.1.1	31 October 1940	difaa	Page 1	"<div class=""txtsearchsnippet"">... ، قسم الاعلانات . القدس : تلفون ٢٤١٣ . <b class=""highlightcolor"">حيفا</b> : تلفون ١٢٥٨</div>"
61	difaa19380717-01.1.8	17 July 1938	difaa	Page 8	"<div class=""txtsearchsnippet"">... الشرباتي اليوم نبأ وفاة أحمد عثمان حجازي الشرباتي في <b class=""highlightcolor"">المستشفى الحكومي</b> بالقدس ، وفي الحال اتخذت الترتيبات لنقله ودفنه ...</div>"
