n	id	date	publication	title	snippet
32	hmf19470512-01.2.64	12 May 1947	hmf	"תינוקת נעלמה מביג""ח הממשלתי בחיפה"	"<div class=""txtsearchsnippet"">... בת כמה שעות נעלמה באורח מסתורי מחדר הילדים של <b class=""highlightcolor"">ביה""ח הממשלתי</b> בחיפה. התינוקת נולדה לערביה נוצריה נעמי מוניה חאג' ...</div>"
33	ahr19471221-01.2.55	21 December 1947	ahr	נורה יהודיבחיפה כשהלך לגבות חוב בוערבי	"<div class=""txtsearchsnippet"">... בן ‭. 19‬ מצבו קשה. כול אלה נאספו אל <b class=""highlightcolor"">ביה""ח הממשלתי.</b> *לד ששיחק בכדור תחמושת י לד בן ד, ...</div>"
34	hmf19461124-01.2.16	24 November 1946	hmf	"נשדדה מכונית ביפו ע""י צעירים מזויינים"	"<div class=""txtsearchsnippet"">... הצעירים והצעירה למשרד הנ""ל ביפו והזמינו מכונית לאגרו־בנק. ע""י <b class=""highlightcolor"">ביה""ח הממשלתי</b> ביפו שלפו הצעירים אקדו־ חים. שנים מהם כפתו ...</div>"
35	hzh19480425-01.2.26	25 April 1948	hzh	"מחלקת עליה _בדושלינ נכבשה ע""י ההגנה"	"<div class=""txtsearchsnippet"">... י&gt;מים — על כך הודיע אתמול ""אםושיאטד פרם‭. ""‬ <b class=""highlightcolor"">ביה""ח הממשלתי</b> בירושלים _ לצלב האדום הצלב האדום הבינלאומי מודיע, ...</div>"
36	hmf19480227-01.2.90	27 February 1948	hmf	ערבים שודדים מכוניות של הממשלה	"<div class=""txtsearchsnippet"">... שאחד מהם "" היד. מזויין ב־ אקדח, כשחנתה ליד <b class=""highlightcolor"">ביה""ח הממשלתי</b> בצפת. נהג ערבי של מכונית של מח' העבודות ...</div>"
37	hmf19460911-01.2.38	11 September 1946	hmf	חשש לחיי הועיד השובת זה היום ה־12	"<div class=""txtsearchsnippet"">... שינוי מכריע לרעד, ויש חשש לחייו. אתמול ניסו רופאי <b class=""highlightcolor"">ביה""ח הממשלתי</b> בירושלים להערות דם לעורק-ו, אך הוא התנגד בכל ...</div>"
38	hmf19470511-01.2.80	11 May 1947	hmf	2 נפצעו קשה בתאונת־ דרכים ליד רעננה	"<div class=""txtsearchsnippet"">... — לכיה""ד הצכאי יצחק בוזגלו, בן ‭, 29‬עזב את <b class=""highlightcolor"">ביה""ח הממשלתי</b> בחיפה והובא בשבת לפני השופט דאוד יוסף כששתי ...</div>"
39	ahr19471102-01.2.56	2 November 1947	ahr	"חי""ליט ""ור""ט על _תגלה־כדזות"	"<div class=""txtsearchsnippet"">... הועבר במכונית משטרה מלווה משמר חזק ומכונית משוריינת אי־ <b class=""highlightcolor"">ביה""ח הממשלתי</b> ריפו.</div>"
40	ahr19480123-01.2.92	23 January 1948	ahr	ידיות ע ל עובד• המטע _ביד־מדדכי י ד ־ מ ר ד כ י יום הי על אנשי	"<div class=""txtsearchsnippet"">... בביה""ח האוסטרי שבעיר העתיקה בירושלים, נפתח אתמול סניף של <b class=""highlightcolor"">ביה""ח הממשלתי.</b> _HHBBiHMBi</div>"
41	hmf19470716-01.2.68	16 July 1947	hmf	•_דץעזליה	"<div class=""txtsearchsnippet"">... מזויינים המתוארים כיהודים עצרו בליל שלשום 3 ערבים ליד <b class=""highlightcolor"">ביה""ח הממשלתי</b> לחולי־רוח בירושלים ושדדו מהם כחמשים לא""י. הערבים מסרו ...</div>"
