n	id	date	publication	title	snippet
42	dav19390705-01.1.7	5 July 1939	dav	Page 7	"<div class=""txtsearchsnippet"">... לחברתמ רחל _לנשואיה עם בחיר לבה ‭1 ""‬ עובדי <b class=""highlightcolor"">ביהח</b> העידו‭""!‬הדסה""</div>"
43	dav19390905-01.1.6	5 September 1939	dav	Page 6	"<div class=""txtsearchsnippet"">... את פסק הדין 1 למות. שהוצא ע""י ביה""ר הצבאי <b class=""highlightcolor"">בחיפה</b> ב־‭?5‬באוגוסט על כ_*ליד . מחמרד טרבולפי מטבריה בעוון יריות ...</div>"
44	dav19390911-01.1.5	11 September 1939	dav	Page 5	"<div class=""txtsearchsnippet"">... '‬ ן1יפה‭. ?? ., ‬ • ־ י _/אבד <b class=""highlightcolor"">בחיפה</b> באורה""; עט נובע ‭, "" , _‬ פ5יק1 י' ...</div>"
45	dav19420823-01.1.4	23 August 1942	dav	Page 4	"<div class=""txtsearchsnippet"">... וגורלו של העם היהודי, הוא רוצה הבטחה מהסתירות הפועלים <b class=""highlightcolor"">בחיפה</b> שתתן במשך השבועות הקרובים 1000 חיילים נוספים לגדודים העבריים.</div>"
46	dav19430311-01.1.4	11 March 1943	dav	Page 4	"<div class=""txtsearchsnippet"">... 7 מקפחת חומש. לאה _#י_3מן, שוקונה _גלקין, יאה טרמן <b class=""highlightcolor"">בית החולים</b> המרכזי ב־גגק-יזיעאל</div>"
47	dav19431013-01.1.7	13 October 1943	dav	Page 7	"<div class=""txtsearchsnippet"">... הדר לגהורה "" למסירה בתל אג־ב, נגד הצי חדר <b class=""highlightcolor"">בחיפה.</b> לפנות גן־ ילדים_, . כנרת 9 היפה. י‭""""‬י"" רווק, ...</div>"
48	dav19450218-01.1.2	18 February 1945	dav	Page 2	"<div class=""txtsearchsnippet"">... יש חוגים לתעופה עיונית ומעשי ת־ בוגים סודאלים. בקלוב <b class=""highlightcolor"">בחיפה</b> מתרגזת הפעולה לבניית אוירונים. נערכו ימי עיון למורים וימי ...</div>"
49	dav19450219-01.1.1	19 February 1945	dav	Page 1	"<div class=""txtsearchsnippet"">... יום ג‭('‬ ב־8 בערב תיערך האזכרה להנרייטה 0אלד באולם <b class=""highlightcolor"">בית־ החולים</b> -הדסה"" על. הר _הצופיט ביום השבעה לפטירתה. האזכרה ...</div>"
50	dav19450312-01.1.2	12 March 1945	dav	Page 2	"<div class=""txtsearchsnippet"">... ג ה‭8, ‬ _קקצית הטייהיט שליד אגודת פועלי הבגיו <b class=""highlightcolor"">בחיפה</b></div>"
51	dav19451217-01.1.3	17 December 1945	dav	Page 3	"<div class=""txtsearchsnippet"">3_ית חרושת _מכגי <b class=""highlightcolor"">בחיפה</b> (ד, _שיך לחברת _םיציזיה בע""מ) _עומד למכירה דחיקה בתנאים ...</div>"
52	dav19460213-01.1.2	13 February 1946	dav	Page 2	"<div class=""txtsearchsnippet"">... השניה' שבה פרצה רק שביתה ארובה אחת (בבית""ר ""קלוזון""• <b class=""highlightcolor"">בחיפה‭.</b> (‬היה מספר ימי השביתות קטן לעומת המחצית הראשונה. התמונה ...</div>"
53	dav19460825-01.1.3	25 August 1946	dav	Page 3	"<div class=""txtsearchsnippet"">... '7‬העטל ‭'&gt;1‬ בנתניה יום ה' ‭28. 8‬ רי""לטו — <b class=""highlightcolor"">בחיפה</b> _בארמון* — ב־9 ההתחלת ההצגות הרגילות ב־‭8. 30 ‬</div>"
54	dav19461029-01.1.3	29 October 1946	dav	Page 3	"<div class=""txtsearchsnippet"">ת1צרה <b class=""highlightcolor"">_ביה־ח</b> _הטולם־</div>"
55	dav19461201-01.1.3	1 December 1946	dav	Page 3	"<div class=""txtsearchsnippet"">... "" בשעות מ־‭1—8‬ ו‭4-6‬י‭6-‬ (טל6ון _8תח־תקוו&gt; ‭(326‬ הכניסה בסיט&amp;ת <b class=""highlightcolor"">בית החולים</b> בי'ייג&amp;ון.</div>"
56	dav19461208-01.1.1	8 December 1946	dav	Page 1	"<div class=""txtsearchsnippet"">... -שהתפוצץ המוקש הראשון. המכונית. חזרו!מהר הצופים ובהגיעה ליד פינת <b class=""highlightcolor"">בית החולים</b> האיטלקי , רץ לעומת הנהג חייל עם מכונת ...</div>"
57	dav19470310-01.1.1	10 March 1947	dav	Page 1	"<div class=""txtsearchsnippet"">... בבית החולים שוטרים ואנשי בולשת נאו אתמול אחח""צ אל <b class=""highlightcolor"">בית החולים</b> ""הכרמל‭. ""‬הוציאו משם את החולה צבי 0שפי ורקח ...</div>"
58	dav19470708-01.1.3	8 July 1947	dav	Page 3	"<div class=""txtsearchsnippet"">ש1ב מקרה לבר <b class=""highlightcolor"">בחיפה</b></div>"
59	dav19480304-01.1.4	4 March 1948	dav	Page 4	"<div class=""txtsearchsnippet"">הועדה הלאומית <b class=""highlightcolor"">בחיפה</b></div>"
60	dav19480312-01.1.8	12 March 1948	dav	Page 8	"<div class=""txtsearchsnippet"">... ‬ עט‭. '‬ סטנסיל. ־ מרכז ופת-חולים‭5. ‬ שנות <b class=""highlightcolor"">בית־ החולים</b> -בילינסון ב‭, '‬פתח־תקוה. תש""גהש""ה‭26. ‬ עמי- תמונות. עבוד ...</div>"
61	dav19480524-01.1.3	24 May 1948	dav	Page 3	"<div class=""txtsearchsnippet"">פתוחות המרפאות של קופת _וווליט <b class=""highlightcolor"">בחיפה</b></div>"
62	dav19481026-01.1.3	26 October 1948	dav	Page 3	"<div class=""txtsearchsnippet"">... קבלת רשיון למכירת משקאות חריפים לשנת 1949 בחנות שלי <b class=""highlightcolor"">בחיפה</b> רח' עיראק ‭-140‬ יוסף ויסמן ישר בית המשפט המחוזי. ...</div>"
63	dav19481121-01.1.2	21 November 1948	dav	Page 2	"<div class=""txtsearchsnippet"">... משבר. הביורוקרטיה הממשלתית ראתה נצרת קיט חינוכנו וענייה מנגד, <b class=""highlightcolor"">בית החולים</b> בעמק עמד להיסגר ולא נקפה אצבע, כל דאגותיה ...</div>"
64	dhy19310609-01.1.4	9 June 1931	dhy	Page 4	"<div class=""txtsearchsnippet"">... ישיבת המועצה. סדר היום שלה: ההלואח לעבודוח הצבוריות. הוזה <b class=""highlightcolor"">בית החולים.</b> חוקת ת""א. מר רוקח יו""ד המועצה הזכיר אח ...</div>"
65	dhy19320918-01.1.4	18 September 1932	dhy	Page 4	"<div class=""txtsearchsnippet"">בית משפט המחוזי <b class=""highlightcolor"">בחיפה</b> משרד ההוצאה לפועל }</div>"
66	haolam19390615-01.1.10	15 June 1939	haolam	Page 10	"<div class=""txtsearchsnippet"">... שעליה הוכרז ביום־הסקודה, הביעה ועדת המצב שליד ועד הקהלה <b class=""highlightcolor"">בחיפה.</b> המורכבת מכל המוסדות הישוביים ומב""כ המפלגות השונות שבעיר. בההלטה ...</div>"
67	haretz19300626-01.1.1	26 June 1930	haretz	Page 1	"<div class=""txtsearchsnippet"">... חיים שניאות ו] )[ן מאוזן ברחוב החבשים החדש מול <b class=""highlightcolor"">ביה'ח</b> מ I חאימלקי. * 'ת I הודי החתן הות ...</div>"
68	haretz19301111-01.1.4	11 November 1930	haretz	Page 4	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">בחיפה</b></div>"
69	haretz19310508-01.1.4	8 May 1931	haretz	Page 4	"<div class=""txtsearchsnippet"">... הממשלה בתק־ ציב העיר י יה לעבודות צבוריות, העברת <b class=""highlightcolor"">בית החולים</b> וכו י. אחרי כן יבקר בבית המטבחים, יסייר ...</div>"
70	haretz19310623-01.1.4	23 June 1931	haretz	Page 4	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">בחיפה</b></div>"
71	haretz19320619-01.1.4	19 June 1932	haretz	Page 4	"<div class=""txtsearchsnippet"">... ברחוב בז יחודה. המוציא לפעל ירושלים משרד ההוצאה לפועל <b class=""highlightcolor"">בחיפה</b> תיק מס' ‭; 4002. 30‬) לחג י לאה פרידלנדד, ...</div>"
72	haretz19330413-01.1.4	13 April 1933	haretz	Page 4	"<div class=""txtsearchsnippet"">... 4 מטר והצי. הנפצע הובא לקליניקה של ד״ר בתר <b class=""highlightcolor"">בחיפה.</b> מצבו אנוש. קונצרט דתי של החזן רוזנבלאט החזן יוסף ...</div>"
73	haretz19330811-01.1.4	11 August 1933	haretz	Page 4	"<div class=""txtsearchsnippet"">... על אדמת השותפות ""מולדת"" L 3 (בסביבת מקוה־ישראל, ע״י- <b class=""highlightcolor"">ביה״ח</b> לעורות) "" S חגיגת הנחת אבדהפנה ט 3 לממן ...</div>"
74	haretz19350118-01.1.5	18 January 1935	haretz	Page 5	"<div class=""txtsearchsnippet"">... השריפה הגדולה 1 ביותר בתולדות תל-אביב. הרכוש הבשרף של <b class=""highlightcolor"">ביה""ח</b> האכגז, חברת ריאו, השרון המאוחד, החברה למביעים ומכוביות משא ...</div>"
75	haretz19350123-01.1.1	23 January 1935	haretz	Page 1	"<div class=""txtsearchsnippet"">חנוכת צבור מפס העיואקי <b class=""highlightcolor"">בחיפה</b></div>"
76	haretz19350731-01.1.7	31 July 1935	haretz	Page 7	"<div class=""txtsearchsnippet"">I ו?‭""3ע*8‬ ישנו-בשותפות I בית משותף <b class=""highlightcolor"">בחיפה</b> I חדר חבדמל, רחוב חלל הנמזיות I ! דירות ...</div>"
77	haretz19351216-01.1.6	16 December 1935	haretz	Page 6	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">בחיפה</b> באבוד לתוצרת הארץ"" "" כישיבת חאחרוגת שלמועצת המו- "" ...</div>"
