n	id	date	publication	title	snippet
41	hmf19471210-01.1.1	10 December 1947	hmf	Page 1	"<div class=""txtsearchsnippet"">6 יהודים נאסרו <b class=""highlightcolor"">בחיפה</b></div>"
42	dhy19320612-01.1.4	12 June 1932	dhy	Page 4	"<div class=""txtsearchsnippet"">... יצאנ מיד למקום ומצאו את גופת הנרצה שהובלה א_$ <b class=""highlightcolor"">ביה""ח הממשלתי.</b> ר גיגבים טרם נתפשו. נהרג מתוך שינה ביום ...</div>"
43	dhy19310301-01.1.4	1 March 1931	dhy	Page 4	"<div class=""txtsearchsnippet"">... מבתי המשפט ביום התמשי וביום הששי התנהל בביהמ""ש דנזחוזי <b class=""highlightcolor"">בחיפה</b> המיטד משפטם של שליטת הדרוזים ט""דליית אל כרמל"" שנאשמו ...</div>"
44	khm19480322-01.1.4	22 March 1948	khm	Page 4	"<div class=""txtsearchsnippet"">ן היום מתייצבים <b class=""highlightcolor"">בחיפה</b> I‬ ‭I הגברי?מבני I 35-26‬ ‭I בכית ""מכבי"" רחוב ...</div>"
45	haretz19431226-01.1.4	26 December 1943	haretz	Page 4	"<div class=""txtsearchsnippet"">... פסלו נערכו קידושי ועד הפקידים התדש של לשכתהכרמל"" "" <b class=""highlightcolor"">בחיפה</b> של בני ברית ע ל ידי הנשיא הגדול השופט ...</div>"
46	hazmantlv19430817-01.1.4	17 August 1943	hazmantlv	Page 4	"<div class=""txtsearchsnippet"">... על קברה של אם נשיא ההסתדרות הציונית בית העלמין <b class=""highlightcolor"">בחיפה</b> במעמד פל בני המשפחה וידידיה. בנה מר יחיאל ויעמן ...</div>"
47	hazmantlv19430812-01.1.4	12 August 1943	hazmantlv	Page 4	"<div class=""txtsearchsnippet"">... בין ה־B בינואר ו־2 4 בפברואר ש. ז. החזיקו <b class=""highlightcolor"">בחיפה</b> ,באופן בלתי חוקי 18000 כדורים גרמניים ואיטלקיים. בתאריך.. שבין ...</div>"
48	hmf19470611-01.1.4	11 June 1947	hmf	Page 4	"<div class=""txtsearchsnippet"">מצבות ל־11 אנשי לוד שנפלו <b class=""highlightcolor"">בחיפה</b></div>"
49	hmf19480428-01.1.4	28 April 1948	hmf	Page 4	"<div class=""txtsearchsnippet"">נסגוה לפתע הקונסוליה הלבנונית <b class=""highlightcolor"">בחיפה</b></div>"
50	hmf19471228-01.1.1	28 December 1947	hmf	Page 1	"<div class=""txtsearchsnippet"">21 יהודים נפלו בכביש ירושלים, <b class=""highlightcolor"">בחיפה,</b> בנגב ובגבול תל אביב</div>"
51	hmf19430616-01.1.4	16 June 1943	hmf	Page 4	"<div class=""txtsearchsnippet"">. ־ <b class=""highlightcolor"">בחיפה</b> ביום השפתון נתקיימו 3 אספות-עם בהשתתפות קהל עצום. בביהכנ""ס ...</div>"
52	hazmantlv19440116-01.1.4	16 January 1944	hazmantlv	Page 4	"<div class=""txtsearchsnippet"">... חים רבים נפתח בליל שבת באולם .בי־ ! תנו* <b class=""highlightcolor"">בחיפה</b> הכעיס הארצי של נשי , החיילים. בין האורחים נראו ...</div>"
53	ahr19471005-01.1.8	5 October 1947	ahr	Page 8	"<div class=""txtsearchsnippet"">מאת דכ שלכל, כתבנו <b class=""highlightcolor"">בחיפה</b> חיפה, שכת. - כעוד ב‭700-‬ ממעפילי "" גאולה‭. ""‬מחכים ...</div>"
54	ahr19471103-01.1.4	3 November 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">יה!ד8 נפצע קשה מיריות שודד <b class=""highlightcolor"">בחיפה</b></div>"
55	dav19340321-01.1.4	21 March 1934	dav	Page 4	"<div class=""txtsearchsnippet"">התורנים בעבודתם •לדרישת הנהלת יחמכם <b class=""highlightcolor"">בחיפה</b> המטינו _במוצ‭'""‬ט הסבלים 'הדודנים העסו - קים אצל י ...</div>"
56	haretz19330711-01.1.1	11 July 1933	haretz	Page 1	"<div class=""txtsearchsnippet"">... בית אמינוב. ת. ד. 273. טלפח 463 מעון הסניף <b class=""highlightcolor"">בחיפה</b> — פנת רחוב המזרח ורחוב הנמל בית ראובן מקובר, ...</div>"
57	haretz19440807-01.1.2	7 August 1944	haretz	Page 2	"<div class=""txtsearchsnippet"">... שוכרט בראשון לציון יום ה' ‭17. 8‬ צלילי שובדט <b class=""highlightcolor"">בחיפה</b> ן יום ב' ‭21. 8‬ צלילי שוברט ברטת־גן י</div>"
58	haretz19441107-01.1.4	7 November 1944	haretz	Page 4	"<div class=""txtsearchsnippet"">... השחור, במקום שהמחירים מאמירים והולכים. ששה מקרי דבר חדשים <b class=""highlightcolor"">בחיפה</b> , בשבוע האחרון אירעו בהיפר, 6 מקרי דבר חדשים, ...</div>"
