n	id	date	publication	title	snippet
72	pls19460123-01.1.3	23 January 1946	pls	Page 3	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b> T 0 M 6 OT</div>"
73	pls19480423-01.1.1	23 April 1948	pls	Page 1	"<div class=""txtsearchsnippet"">_nhoury s Report On <b class=""highlightcolor"">Haifa</b> LAKE SUCCESS , Thursday — Toward the close of ...</div>"
74	pls19460729-01.1.3	29 July 1946	pls	Page 3	"<div class=""txtsearchsnippet"">... . v . * * * Seven of the <b class=""highlightcolor"">Haifa</b> detainees rounded up last Friday , who were taken ...</div>"
75	pls19471112-01.1.3	12 November 1947	pls	Page 3	"<div class=""txtsearchsnippet"">... Cana an 7 . 1 14 . 4 66 <b class=""highlightcolor"">Haifa</b> 12 . 6 1 ^ *¦ 7 &lt; i ...</div>"
76	pls19410818-01.1.3	18 August 1941	pls	Page 3	"<div class=""txtsearchsnippet"">... Hanna Kassemj _Yus-Tf in the New Business Centre of <b class=""highlightcolor"">Haifa</b> on Saturday</div>"
77	pls19460812-01.1.3	12 August 1946	pls	Page 3	"<div class=""txtsearchsnippet"">... REMOVFRS ASSOCIATIONS _SilSERSTEINS LTD . IfcL-A . IV ItRUSALEM <b class=""highlightcolor"">HAIFA</b> I . O . e _rm VIA Til-AVIV P ...</div>"
78	pls19441115-01.1.2	15 November 1944	pls	Page 2	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">Haifa</b></div>"
79	pls19441124-01.1.2	24 November 1944	pls	Page 2	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b></div>"
80	pls19450313-01.1.3	13 March 1945	pls	Page 3	"<div class=""txtsearchsnippet"">... _Kinaswav . . Police H . Q . f <b class=""highlightcolor"">Haifa</b> f 1 opp</div>"
81	pls19450212-01.1.3	12 February 1945	pls	Page 3	"<div class=""txtsearchsnippet"">TEL-AVIV • <b class=""highlightcolor"">HAIFA</b> • JERUSALEM</div>"
82	pls19460203-01.1.2	3 February 1946	pls	Page 2	"<div class=""txtsearchsnippet"">ST . <b class=""highlightcolor"">HAIFA</b></div>"
83	pls19460619-01.1.1	19 June 1946	pls	Page 1	"<div class=""txtsearchsnippet"">... searches in Ramat Gan and on the Jerusalem , <b class=""highlightcolor"">Haifa</b> and a number of other high- . A number ...</div>"
84	pls19460825-01.1.3	25 August 1946	pls	Page 3	"<div class=""txtsearchsnippet"">... and his son Ahmed US ) were admitted to <b class=""highlightcolor"">Government Hospital</b> in Jaffa . Shlomo Shirl ( 40 was ...</div>"
85	pls19471226-01.1.3	26 December 1947	pls	Page 3	"<div class=""txtsearchsnippet"">... 1 2 lo 5 , : _¦ _- ¦ <b class=""highlightcolor"">Haifa</b> 9 , 1 l . ao . la-, a ...</div>"
86	pls19411030-01.1.3	30 October 1941	pls	Page 3	"<div class=""txtsearchsnippet"">PALDAG — <b class=""highlightcolor"">HAIFA</b></div>"
87	pls19450808-01.1.3	8 August 1945	pls	Page 3	"<div class=""txtsearchsnippet"">17 Herzl St . , <b class=""highlightcolor"">Haifa</b></div>"
88	pls19451217-01.1.3	17 December 1945	pls	Page 3	"<div class=""txtsearchsnippet"">... _^ _oods &amp; gifts j NEW BUSINESS CHNTRE , <b class=""highlightcolor"">HAIFA</b></div>"
89	pls19431212-01.1.3	12 December 1943	pls	Page 3	"<div class=""txtsearchsnippet"">... of former students of the Hebrew Technical Institute of <b class=""highlightcolor"">Haifa</b> , at prefer , t with the Forces , ...</div>"
90	pls19441017-01.1.3	17 October 1944	pls	Page 3	"<div class=""txtsearchsnippet"">... new settlers from Bulgaria arrived by overland _rouee on <b class=""highlightcolor"">Haifa</b> yesterday .</div>"
91	pls19470131-01.1.3	31 January 1947	pls	Page 3	"<div class=""txtsearchsnippet"">5 II a kishon St ., Kiriat Hialik <b class=""highlightcolor"">HAIFA</b> , froin 10— ] . and »—5 , except ...</div>"
92	pls19460705-01.1.3	5 July 1946	pls	Page 3	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">Haifa</b> s Largest Photo Shop</div>"
93	pls19471207-01.1.3	7 December 1947	pls	Page 3	"<div class=""txtsearchsnippet"">AARON FOSENFELD , <b class=""highlightcolor"">HAIFA</b></div>"
94	pls19470923-01.1.3	23 September 1947	pls	Page 3	"<div class=""txtsearchsnippet"">... . S : &gt; 1 . 0 To c <b class=""highlightcolor"">Haifa</b> 20 . 2 25 . 7 6 ? • ...</div>"
95	pls19470511-01.1.3	11 May 1947	pls	Page 3	"<div class=""txtsearchsnippet"">expected at <b class=""highlightcolor"">HAIFA</b></div>"
96	pls19430214-01.1.3	14 February 1943	pls	Page 3	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">Haifa</b> s Largest _Photoshop</div>"
97	pls19471116-01.1.3	16 November 1947	pls	Page 3	"<div class=""txtsearchsnippet"">Announces Curlew For <b class=""highlightcolor"">Haifa</b></div>"
98	pls19441129-01.1.2	29 November 1944	pls	Page 2	"<div class=""txtsearchsnippet"">IS IN <b class=""highlightcolor"">HAIFA</b> AGAIN SINGING and PLAYING every night at the</div>"
99	pls19460102-01.1.3	2 January 1946	pls	Page 3	"<div class=""txtsearchsnippet"">... which are causing much damage to agriculture in the <b class=""highlightcolor"">Haifa</b> district , and the authorities are asked to provide ...</div>"
100	pls19430811-01.1.3	11 August 1943	pls	Page 3	"<div class=""txtsearchsnippet"">... , are being collected under the auspices of the <b class=""highlightcolor"">Haifa</b> Arab Labour Society , So far LP , 150 ...</div>"
101	pls19451107-01.1.3	7 November 1945	pls	Page 3	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b></div>"
102	pls19470703-01.1.3	3 July 1947	pls	Page 3	"<div class=""txtsearchsnippet"">... Post Offices in Jerusalem , Tel I Aviv and <b class=""highlightcolor"">Haifa</b> .</div>"
103	pls19480129-01.1.3	29 January 1948	pls	Page 3	"<div class=""txtsearchsnippet"">17 a Herzl St ., <b class=""highlightcolor"">Haifa</b></div>"
104	pls19441110-01.1.2	10 November 1944	pls	Page 2	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b> Table reservations by Tel . 4221</div>"
105	pls19460302-01.1.3	2 March 1946	pls	Page 3	"<div class=""txtsearchsnippet"">Beth Hasbaon 25 Bcrzl St ., <b class=""highlightcolor"">Haifa</b></div>"
106	pls19480126-01.1.3	26 January 1948	pls	Page 3	"<div class=""txtsearchsnippet"">... Seherr . ie for Villas in Kiryat Yam , <b class=""highlightcolor"">Haifa</b> Bay . _ne-ar the . seashore . Apply : ...</div>"
107	pls19451111-01.1.2	11 November 1945	pls	Page 2	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">Haifa</b> Tel . 4221 Hot &amp; Cold Water _&lt; ¦ ...</div>"
108	pls19450910-01.1.3	10 September 1945	pls	Page 3	"<div class=""txtsearchsnippet"">From Oiir Own Correspondent <b class=""highlightcolor"">HAIFA</b> , Sunday . — Taking their arrival and disembarkation- ...</div>"
109	pls19460208-01.1.4	8 February 1946	pls	Page 4	"<div class=""txtsearchsnippet"">... . Yours , etc . M . L . <b class=""highlightcolor"">Haifa</b> _ Feb . 3 .</div>"
110	pls19470124-01.1.3	24 January 1947	pls	Page 3	"<div class=""txtsearchsnippet"">... Mt . _Cana an _S . l _7-S . <b class=""highlightcolor"">Haifa</b> 12 . 3 54 Beisan Hi . 5 4 ...</div>"
111	pls19440217-01.1.3	17 February 1944	pls	Page 3	"<div class=""txtsearchsnippet"">... FTKKN cases of typhus , in1 eluding six in <b class=""highlightcolor"">Haifa</b> and live in . _Jerusalem were notified from _various ...</div>"
112	pls19410608-01.1.2	8 June 1941	pls	Page 2	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b> CLUR WIN EASILY AGAINST POLICE XI</div>"
113	pls19450105-01.1.3	5 January 1945	pls	Page 3	"<div class=""txtsearchsnippet"">Bat Galim , <b class=""highlightcolor"">Haifa</b> Tel . 3222 NIGHTLY FROM 8 oclock OUR BIG ...</div>"
114	pls19440214-01.1.3	14 February 1944	pls	Page 3	"<div class=""txtsearchsnippet"">... : 34 Jaffa-Tel _Attv Rd ., TeL 5262 ( <b class=""highlightcolor"">Haifa</b> ; 47 _Harbour Street . .</div>"
115	pls19471229-01.1.4	29 December 1947	pls	Page 4	"<div class=""txtsearchsnippet"">... 3 \\ _\\ $ 1 j will sail from <b class=""highlightcolor"">Haifa</b> , on December 30 , 1947 for BEIRUT , ...</div>"
116	pls19460120-01.1.2	20 January 1946	pls	Page 2	"<div class=""txtsearchsnippet"">BAR — RESTAURANT _Wa-dir Hacarmel , <b class=""highlightcolor"">Haifa</b> TEL . 4465</div>"
117	pls19460414-01.1.3	14 April 1946	pls	Page 3	"<div class=""txtsearchsnippet"">... York an &lt; l io s : iil from <b class=""highlightcolor"">Haifa</b> about April IS , 1 JMC to</div>"
118	pls19470623-01.1.4	23 June 1947	pls	Page 4	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b></div>"
119	pls19460730-01.1.3	30 July 1946	pls	Page 3	"<div class=""txtsearchsnippet"">... Hantifrat / : Coopcrati \ e bus lines in <b class=""highlightcolor"">Haifa</b> . * * * The recently approved wage increases ...</div>"
120	pls19440717-01.1.3	17 July 1944	pls	Page 3	"<div class=""txtsearchsnippet"">for Jerusalem , <b class=""highlightcolor"">Haifa</b> and other large centres in _Palestine</div>"
121	pls19470429-01.1.3	29 April 1947	pls	Page 3	"<div class=""txtsearchsnippet"">... m . Mt . Canaan 20 . 6 26 <b class=""highlightcolor"">Haifa</b> 21 . 3 62 Beisan , 30 . 0 ...</div>"
122	pls19451230-01.1.3	30 December 1945	pls	Page 3	"<div class=""txtsearchsnippet"">... Industrial Exhibition which closed last night in Peitenu at <b class=""highlightcolor"">Haifa</b> . * * * A protest against recent deportation ...</div>"
123	pls19420322-01.1.3	22 March 1942	pls	Page 3	"<div class=""txtsearchsnippet"">... practice A parade of the Railway Auxiliary Police in <b class=""highlightcolor"">Haifa</b> was inspected by Mr . Jameson Friday morning The ...</div>"
124	pls19451209-01.1.2	9 December 1945	pls	Page 2	"<div class=""txtsearchsnippet"">... , P . O . B . 66 , <b class=""highlightcolor"">Haifa</b> .</div>"
125	pls19450912-01.1.2	12 September 1945	pls	Page 2	"<div class=""txtsearchsnippet"">... , and A Guy Named Joe ( Amphitheatre , <b class=""highlightcolor"">Haifa</b> ) introduces us to a celestiai Air Force whose ...</div>"
126	pls19460206-01.1.2	6 February 1946	pls	Page 2	"<div class=""txtsearchsnippet"">... , on February 4 , 1946 . at the <b class=""highlightcolor"">Government Hospital</b> , <b class=""highlightcolor"">Haifa</b> — a son , Bruce David ...</div>"
127	pls19450624-01.1.2	24 June 1945	pls	Page 2	"<div class=""txtsearchsnippet"">Ml _OaLIH , <b class=""highlightcolor"">HAIFA</b></div>"
128	pls19420424-01.1.2	24 April 1942	pls	Page 2	"<div class=""txtsearchsnippet"">_SAVOV HOTEL — <b class=""highlightcolor"">HAIFA—</b> ITS A NAME AND A PLACE</div>"
129	pls19470518-01.1.2	18 May 1947	pls	Page 2	"<div class=""txtsearchsnippet"">Tel . 44 ( 55 <b class=""highlightcolor"">Haifa</b></div>"
130	pls19470302-01.1.3	2 March 1947	pls	Page 3	"<div class=""txtsearchsnippet"">... _FOERTH trunk line has been / X installed between <b class=""highlightcolor"">Haifa</b> and h _-aghuad During J ,. nnary , 8- ...</div>"
131	pls19410302-01.1.2	2 March 1941	pls	Page 2	"<div class=""txtsearchsnippet"">... 4 . PO . B . f 5 , <b class=""highlightcolor"">Haifa</b> .</div>"
132	pls19441101-01.1.3	1 November 1944	pls	Page 3	"<div class=""txtsearchsnippet"">... ^^ Bar-Restaurant | ^ ^ ^^^ ^ . . <b class=""highlightcolor"">Haifa</b> [ \ j ^ N &amp; . Reserve table ...</div>"
133	pls19450109-01.1.3	9 January 1945	pls	Page 3	"<div class=""txtsearchsnippet"">Casino Bat Galirn <b class=""highlightcolor"">Haifa</b></div>"
134	pls19441112-01.1.3	12 November 1944	pls	Page 3	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">Haifa</b></div>"
135	pls19440204-01.1.3	4 February 1944	pls	Page 3	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b></div>"
136	pls19440929-01.1.3	29 September 1944	pls	Page 3	"<div class=""txtsearchsnippet"">... shopping — the Talpiot Market in Hadar Hacarmel , <b class=""highlightcolor"">Haifa</b> , will be open _tornonow night from 7 . ...</div>"
137	pls19440825-01.1.3	25 August 1944	pls	Page 3	"<div class=""txtsearchsnippet"">... of Criminal Assize will be opened in Jaffa and <b class=""highlightcolor"">Haifa</b> on October 2 , and in Jerusalem . and ...</div>"
138	pls19440824-01.1.1	24 August 1944	pls	Page 1	"<div class=""txtsearchsnippet"">OTTOMAN j <b class=""highlightcolor"">HAIFA</b> , ) . Jl . I</div>"
139	pls19450706-01.1.3	6 July 1945	pls	Page 3	"<div class=""txtsearchsnippet"">AMPHITHEATRE , <b class=""highlightcolor"">Haifa</b> . EDWARD G . ROBINSON</div>"
