date	pub	page_id	disease	term	haifa	dateline	hospital	epidemic_words	soft_term	window	reg_before	reg_after	reg_deaths_before	reg_coverage	surge	days_after_surge	lead_lag
1938-04-18	difaa	difaa19380418-01.1.6	influenza	الانفلونزا	page					… الهبر المغذيه وخواصه المنشطه علي وجه لا مثيل له . فاسرع في تناول البوفريل علي الاقل مره في اليوم . البونديل . يهيء لك القوه الخصوصيه اللازمه لمقاومه الانفلونزا الموزعون الوحيدون في فلسطين محلات سبی…							
1938-04-18	difaa	difaa19380418-01.1.6	typhoid	التيفوييد	page					…مطافحه حمي التيفوييد…							
1938-04-18	difaa	difaa19380418-01.1.6	typhoid	التيفوييد	page			y		…ابلغ مفتش صحه الرمله بوجود عده اصابات بحمي التيفوييد في المدينه وعلي اثر ذلك صدرت الاوامر من رياسه الصحه العامه باتخاذ الاحتياطات اللازمه واجراء تطعيم عام لسكان المدينه ابتداء من يوم الاثنين…							
1938-07-12	difaa	difaa19380712-01.1.8	typhus	والتيفوس	page					…شركه هل لفلسطين المحدوده تقدم الي مزارعي الاثمار الحمضيه زيوت مثل الشهيده للرش العلاج الوحيد لجميع حشرات البرتقال والتيفوس يمكنكم الحصول علي زيوت شل للرش من جميع وكلاينا في فلسطين ( وكاله يانا وجميع قراها راجعرا اضمنوا نظافه اعماركم شركه الاعمال الزراعيه العربيه المحدوده …							
1938-07-27	difaa	difaa19380727-01.1.1	diphtheria	الخناق	window			y	y	…تدابير في نكبه حينها ، تلك النكبه التي تذهل الانسان الي حد الغيبوبه من فرط الالم والحيره ! وكم يهودي اعتقل في مذبحه حيفا ؟ وايه اجراءات تلت ذلك لتضيق الخناق علي المجرم الذي يتشفي الان بما نكتب ، ويتشفي الان بذكر عدد ضحاياه وحاله الجرحي المصا بهذه نعم ، لقد انتشرت القوات في تلك المدينه ، وفرضت السلطه منع ا…	0	5	0	open	1938-10-30(peak 25/30d)	-95	leads 95d
1938-08-09	difaa	difaa19380809-01.1.8	typhus	والتيفوس	page					…شركه شل لفلسطين المحدوده تقدم الي مزارعي الاثمار الحمضيه زيوت مثل الشهيره للرش العلاج الوحيد لجميع حشرات البرتقال والتيفوس. يمكنكم الحصول علي زبوت شل للرش من جميع وكلاينا في فلسطين اضمنوا نظافه اعماركم باست، مال زبوت شل لارش وكاله يانا وجميع قراها راجعوا له شركه الاعمال ا…							
1938-09-16	difaa	difaa19380916-01.1.5	malaria	الملاريا	window					…جاء نا من محفل الكرمل بحيفا انه عاد الي حيفا قادما من لبنان الاستاذ بك التميمي بعد ان امضي شهرا رحله حيث اصيب بحمي الملاريا ولزم طول هذه المده واضطر شقيقه رشدي بك التميمي الي السفر والحضور اوروبا الاستاذ المحامي وعاد فراد عطا الله بعد قضاء شهرین بعد غياب سته اشهر في المجر …	63	48	0	open	1938-08-13(peak 45/30d)	34	lags 34d
1940-04-04	difaa	difaa19400404-01.1.6	influenza	بالانفلونزا	page			y		…اصابه ٥٠ طالبا بالانفلونزا…							
1940-04-04	difaa	difaa19400404-01.1.6	influenza	الانفلونزا	page					…اصيب خمسون طالبا من طلاب مدرسه شويكه الاميريه بمرض الانفلونزا وقد اصدر طبيب الصحه اديب افندي خرطبيل امرا باغلاق المدرسه لمده ثلاثه ايام…							
1940-04-06	difaa	difaa19400406-01.1.5	influenza	الانفلونزا	page					…مرض الانفلونزا…							
1940-04-06	difaa	difaa19400406-01.1.5	influenza	الانفلونزا	page			y		…الناصره في نيسان لمراسل الدفاع - الخاص - بمناسبه تفشي الامراض في المدينه وخصوصا مرض الانفلونزا ، قصدت الي منزل طبيب الصحه شفيق افندي حداد للوقوف علي بعض المعلومات عن اسباب هذا المرض وطرق معالجته وقد وجدته منهمكا بمعالجه المرض…							
1940-04-06	difaa	difaa19400406-01.1.5	influenza	بالانفلونزا	page			y		…الذين جاءوا عيادته وكان يلاطفهم ويخفف من الامهم ، وبعد ان القيت عده اسيله بشان مهمتي اجابني بما يلي : في المدينه عده اصابات بالانفلونزا ويخشي ان تتسرب الي اخرين. وتعمل دايره الصحه علي مكافحتها وترجومن الجهور فدرهم وقايه مساعدتها في حصر المر خير من الف علاج ، ثم استطرد ونوه بالاسباب ال…							
1940-04-07	difaa	difaa19400407-01.1.7	diphtheria	الدفتريا	page					…انتشار مرض الدفتريا ومكافحته…							
1940-04-07	difaa	difaa19400407-01.1.7	diphtheria	الدفتريا	page			y		…انتشر في المده الاخيره مرص ( الدفتريا » فادي الي وفاه بعض الاطفال . نطلب مكافحه هذا المرض تماشيا من امتداده الي مناطق اخري…							
1940-04-10	difaa	difaa19400410-01.1.6	measles	الحصبه	page			y		…جمل الينا البريد . امس كتابا وقعه مخاتير قريه سدود الاربعه يذكرون فيه ان عدد اصابات الحصبه في القريه قليل وهذا المرض يتلاشي بسبب عنايه دايره الصحه التي يزور طبيبها القريه مرتين في الاسبوع عدا عن وجود ممرض بصوره دايمه يرشد الاهلين علي التعلي…							
1940-04-25	difaa	difaa19400425-01.1.4	diphtheria	دفتري	page					…هران في الساعه الخامسه والنصف من بعد ظهر امس ، حسب وقت فلسطين بعزف النشيد الايراني الامبراطوري ثم تقدم ولي عهد ايران والقي كلمه قصيره ، والقي الدكتور دفتري رييس الوزاره الايرانيه كلمه طويله ، وتكلم المذيع بعد ذلك باللغه الفارسيه ثم بالعربيه وقال ان محطه راديو طهران ستذيع في كل مساء وان اللغه العربيه تقع …							
1940-05-10	difaa	difaa19400510-01.1.2	malaria	الملاريا	page					…دوره مكافحه الملاريا…							
1940-05-10	difaa	difaa19400510-01.1.2	malaria	الملاريا	page					…عاد من مدينه عكا مساء امس جميع الممرضين ومفتشي مكافحه الملاريا في دواير الصحه بعد ان اشتركوا في الدوره التمرينيه للاعمال الصحيه ومكافحه الامراض الساريه التي اشرنا اليها في عدد امس الاول . وقد تمرنوا علي استعمال ا…							
1940-05-10	difaa	difaa19400510-01.1.2	measles	الحصبه	page					…مرض الحصبه…							
1940-05-10	difaa	difaa19400510-01.1.2	measles	الحصبه	page			y		…تفشي مرض الحصبه مءخرا في اعده قري من المنطقه الجنوبيه ونتج…							
1940-05-26	difaa	difaa19400526-01.1.2	malaria	الملاريا	page					…اتخاذ تدابير لمكافحه الملاريا الطواف علي الاماكن الملازمه…							
