n	id	date	publication	title	snippet
97	haretz19480122-01.2.85	22 January 1948	haretz	2 ערבים נהרגו	"<div class=""txtsearchsnippet"">... נורו ביריות אקדח. שני הערבים מתו וגופותיהם הועברו־ ל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> הפולני הועבר גם הוא לבית־החולים הממשלתי כשהוא פצוע ...</div>"
98	haretz19450315-01.2.32	15 March 1945	haretz	הכלל והפרט	"<div class=""txtsearchsnippet"">... חשובה במיניםטו*ו$ התו? העיראקי. * ד""ר א. מלחי, מנהל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בטריס־כץ (בני־ברק) ירד היום (יום ה') מצרימה בשליחות ...</div>"
99	hbkr19460714-01.2.7	14 July 1946	hbkr	פפניה ברח אתמול ממעצרו	"<div class=""txtsearchsnippet"">הועבר למתלקה הבריטית של <b class=""highlightcolor"">בית־החולים הממשלתי</b> ?</div>"
100	ahr19470725-01.2.70	25 July 1947	ahr	Untitled	"<div class=""txtsearchsnippet"">... ‭, 19‬מכפר ג'מעין בנפח־שכם, עובו בנאפ""י. הוא נאסף אל <b class=""highlightcolor"">_בית־החולים הממשלתי</b> בחיפה, ומצבו משתפר. אורח ושמה"" בכיית כוויות בגוף"" ...</div>"
101	ahr19470722-01.2.47	22 July 1947	ahr	, התקפות על מתק! הראדאר _בהר־הכרמל	"<div class=""txtsearchsnippet"">... מוחמד, בן ‭, 23‬נפצע ביריד. בירך. הס הובאו אל <b class=""highlightcolor"">_בית־החולים הממשלתי</b> ומצבם משי חפר. בםטלדי מאריס נהרםר בניינים. לשני ...</div>"
102	hmf19480205-01.2.23	5 February 1948	hmf	"נסים בן־ח""ם ה'""ד"	"<div class=""txtsearchsnippet"">... מעשה . הזוועה שנעשה אתו ע""י הרופאים והאחיות של <b class=""highlightcolor"">בית־החולים הממשלתי</b> בירושלים שרצ־ _חוהו נפש בדם קר על שולחן ...</div>"
103	ahr19470122-01.2.61	22 January 1947	ahr	בנש!שדת	"<div class=""txtsearchsnippet"">ד""ר שמעון כמש מנהל <b class=""highlightcolor"">בית־החולים הממשלתי</b> ""הירקון"" _בתל־אביב הועלה בדרגה ונשלח לאנגליה להשתלם במקצוע ...</div>"
104	ahr19470512-01.2.38	12 May 1947	ahr	"&#8237;^^&#8236;נ&#8237;^^&#8236;מ&#8237;?_5""""^^^ &#8236;"	"<div class=""txtsearchsnippet"">... נדרסה בשבת ע""י מכונית־משא אזרחית. במצב קשה הובאה אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה? ילד מת בנפילה לבדר עוואו _אחמו ו1מרי ...</div>"
105	ahr19470422-01.2.50	22 April 1947	ahr	Untitled	"<div class=""txtsearchsnippet"">... מחה""צ• נגרם דו שבר בגולגו־ יי ת ונאסף אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> קרנות מיוהדות בהדודאה וחסכון' "" בשנת 1946 הופעלו ...</div>"
106	ahr19471107-01.2.92	7 November 1947	ahr	בכמה שרות	"<div class=""txtsearchsnippet"">... אשד, לבושה שמלה ירוקה, בלי נעליים. הגופה הובאה אל <b class=""highlightcolor"">_בית־החולים הממשלתי.</b> דנים על הפינוי‭—. ‬ הקולונל ג ר י ...</div>"
