date	pub	page_id	verdict	hospital_mentions	towns_in_range	other_haifa_hospitals	found_by
1939-06-20	haretz	haretz19390620-01.1.5	untowned	4			spelled
1939-06-20	hbkr	hbkr19390620-01.1.1	untowned	2			spelled
1939-06-20	hzh	hzh19390620-01.1.1	mixed	6	haifa,telaviv	hadassah	spelled
1939-06-22	hbkr	hbkr19390622-01.1.6	untowned	3		hadassah	spelled
1939-06-25	omer	omer19390625-01.1.1	untowned	1			spelled
1939-06-30	dav	dav19390630-01.1.6	other	3	jerusalem,nazareth,safed		maqaf
1939-07-04	hashaah	hashaah19390704-01.1.1	other	2	jaffa,jerusalem		spelled
1939-07-05	haretz	haretz19390705-01.1.5	untowned	2			spelled
1939-07-11	dav	dav19390711-01.1.7	haifa	4	haifa		spelled
1939-07-13	hbkr	hbkr19390713-01.1.6	mixed	1	haifa,safed		abbreviated
1939-08-14	hbkr	hbkr19390814-01.1.4	other	1	jaffa		spelled
1939-08-23	hbkr	hbkr19390823-01.1.6	other	2	gaza,jerusalem	hadassah	abbreviated
1939-09-01	dav	dav19390901-01.1.4	mixed	2	acre,haifa		spelled
1939-09-01	hzh	hzh19390901-01.1.4	mixed	1	acre,haifa		spelled
1939-09-12	haretz	haretz19390912-01.1.4	untowned	1			maqaf
1939-09-25	hbkr	hbkr19390925-01.1.3	untowned	1			maqaf
1939-10-12	hbkr	hbkr19391012-01.1.5	untowned	1			maqaf
1939-10-15	hbkr	hbkr19391015-01.1.4	no_hospital_term	0			maqaf
1939-10-18	hbkr	hbkr19391018-01.1.5	other	1	telaviv		spelled
1939-10-25	hbkr	hbkr19391025-01.1.5	other	2	telaviv		spelled
1939-10-27	hbkr	hbkr19391027-01.1.4	untowned	1			spelled
1939-11-15	ytlv	ytlv19391115-01.1.50	other	8	jaffa		abbreviated
1939-11-16	haretz	haretz19391116-01.1.1	mixed	3	haifa,jerusalem		spelled
1939-11-16	hbkr	hbkr19391116-01.1.1	other	1	jerusalem		spelled
1939-11-23	hzh	hzh19391123-01.1.4	mixed	1	haifa,jerusalem		spelled
1940-01-01	hbkr	hbkr19400101-01.1.6	mixed	8	gaza,haifa,jaffa,jerusalem,nablus,safed,telaviv,tiberias	hadassah	spelled
1940-01-02	haretz	haretz19400102-01.1.6	mixed	3	haifa,jaffa,jerusalem,telaviv		spelled
1940-01-10	hbkr	hbkr19400110-01.1.2	mixed	2	haifa,jerusalem		spelled
1940-01-15	hadashott	hadashott19400115-01.1.2	mixed	17	haifa,jaffa,jerusalem		indefinite
1940-01-15	hmf	hmf19400115-01.1.4	mixed	5	haifa,jerusalem,telaviv	hadassah	indefinite
1940-01-24	hzh	hzh19400124-01.1.3	haifa	3	haifa	hadassah	spelled
1940-03-04	hashaah	hashaah19400304-01.1.3	untowned	1			spelled
1940-05-28	hbkr	hbkr19400528-01.1.8	other	2	jerusalem,safed		abbreviated
1940-06-02	dav	dav19400602-01.1.6	mixed	4	haifa,jerusalem		spelled
1940-06-25	hzh	hzh19400625-01.1.4	other	3	gaza,jaffa	english,hadassah	spelled
1940-07-07	hbkr	hbkr19400707-01.1.3	mixed	3	haifa,jaffa,jerusalem	hadassah	abbreviated
1940-08-07	hbkr	hbkr19400807-01.1.1	haifa	2	haifa	hadassah	spelled
