date	pub	page_id	verdict	hospital_mentions	towns_in_range	other_haifa_hospitals	found_by
1938-06-02	dav	dav19380602-01.1.3	other	9	jaffa	hadassah	
1938-07-07	hbkr	hbkr19380707-01.1.1	mixed	9	haifa,jaffa	hadassah	
1938-07-25	dav	dav19380725-01.1.1	haifa	3	haifa		
1938-08-07	hbkr	hbkr19380807-01.1.6	other	3	jerusalem	english	
1938-09-17	hashaah	hashaah19380917-01.1.1	mixed	6	haifa,jaffa,jerusalem,telaviv	hadassah	
1938-11-20	hbkr	hbkr19381120-01.1.6	other	2	jaffa		
1939-03-03	dav	dav19390303-01.1.3	untowned	1			
1939-03-14	dav	dav19390314-01.1.3	haifa	3	haifa		
1939-04-19	dav	dav19390419-01.1.1	haifa	2	haifa		
1939-05-10	hmf	hmf19390510-01.1.3	haifa	2	haifa	hadassah	
1939-05-25	dav	dav19390525-01.1.3	untowned	1			
1939-06-15	haolam	haolam19390615-01.1.10	other	1	jaffa,telaviv	hadassah	
1939-07-03	hzh	hzh19390703-01.1.1	mixed	3	haifa,telaviv	hadassah	
1939-07-05	dav	dav19390705-01.1.7	other	1	jerusalem	hadassah	
1939-07-25	hzh	hzh19390725-01.1.4	other	2	jerusalem	hadassah	
1939-08-22	haretz	haretz19390822-01.1.4	untowned	4		hadassah,rothschild	
1939-09-05	dav	dav19390905-01.1.6	mixed	2	haifa,jaffa		
1939-09-11	dav	dav19390911-01.1.5	other	7	jerusalem,telaviv		
1939-10-18	hbkr	hbkr19391018-01.1.6	untowned	5		hadassah	
1939-10-18	hzh	hzh19391018-01.1.4	other	3	telaviv	hadassah	
1940-02-01	hzh	hzh19400201-01.1.4	untowned	2			
1940-02-09	hbkr	hbkr19400209-01.1.8	haifa	2	haifa		
1940-04-10	hmf	hmf19400410-01.1.4	haifa	6	haifa	hadassah,rothschild	
1940-04-19	hbkr	hbkr19400419-01.1.8	other	1	telaviv	hadassah	
1940-04-28	hbkr	hbkr19400428-01.1.8	mixed	4	haifa,jaffa,nazareth,telaviv	hadassah	
1940-05-24	hashaah	hashaah19400524-01.1.1	untowned	1			
1940-06-17	hbkr	hbkr19400617-01.1.6	other	2	jerusalem		
1940-09-11	hbkr	hbkr19400911-01.1.4	haifa	3	haifa		
1940-09-23	hzh	hzh19400923-01.1.1	untowned	2			
1941-02-02	hmf	hmf19410202-01.1.3	other	2	jaffa,jerusalem	hadassah	
1941-02-27	hzh	hzh19410227-01.1.4	haifa	5	haifa		
1941-03-24	hbkr	hbkr19410324-01.1.4	mixed	3	haifa,jaffa,telaviv		
1941-11-30	hzh	hzh19411130-01.1.4	other	4	telaviv	hadassah	
1942-01-19	hbkr	hbkr19420119-01.1.2	other	1	jaffa		
1942-01-30	hbkr	hbkr19420130-01.1.3	other	5	jaffa		
1942-03-15	hegeh	hegeh19420315-01.1.4	untowned	1			
1942-04-24	haretz	haretz19420424-01.1.3	untowned	1		hadassah	
1942-06-03	haretz	haretz19420603-01.1.2	mixed	12	haifa,jaffa,jerusalem,telaviv	hadassah	
1942-08-23	dav	dav19420823-01.1.4	other	3	jaffa,jerusalem		
1942-09-03	haretz	haretz19420903-01.1.3	other	10	jaffa,jerusalem,nazareth,ramleh,telaviv	hadassah	
1942-09-15	hbkr	hbkr19420915-01.1.3	untowned	2		rothschild	
1942-11-05	haretz	haretz19421105-01.1.3	other	1	telaviv		
1942-11-18	haretz	haretz19421118-01.1.2	other	2	jerusalem		
1942-11-27	hzh	hzh19421127-01.1.4	haifa	2	haifa	hadassah,rothschild	
1943-03-11	dav	dav19430311-01.1.4	untowned	3			
1943-04-13	hzh	hzh19430413-01.1.3	untowned	6			
1943-05-02	haretz	haretz19430502-01.1.3	other	7	jaffa	rothschild	
1943-05-12	hzh	hzh19430512-01.1.5	other	4	jerusalem		
1943-05-20	hbkr	hbkr19430520-01.1.4	haifa	4	haifa	rothschild	
1943-05-23	haretz	haretz19430523-01.1.3	untowned	6		hadassah	
1943-07-15	hmf	hmf19430715-01.1.3	mixed	3	haifa,jerusalem,telaviv	hadassah,rothschild	
1943-07-22	hzh	hzh19430722-01.1.3	mixed	3	haifa,telaviv		
1943-08-31	ahr	ahr19430831-01.1.3	other	9	telaviv		
1943-10-13	dav	dav19431013-01.1.7	other	6	jerusalem	hadassah	
1943-11-04	haretz	haretz19431104-01.1.4	other	2	nablus		
1943-12-23	hbkr	hbkr19431223-01.1.4	untowned	2			
1944-03-10	haretz	haretz19440310-01.1.6	mixed	2	haifa,jerusalem	rothschild	
1944-03-15	hzh	hzh19440315-01.1.4	haifa	3	haifa	rothschild	
1944-04-03	haretz	haretz19440403-01.1.1	mixed	5	haifa,telaviv	rothschild	
1944-08-09	ahr	ahr19440809-01.1.3	untowned	4			
1944-09-03	hazmantlv	hazmantlv19440903-01.1.4	untowned	2		hadassah	
1944-10-17	haretz	haretz19441017-01.1.3	mixed	7	haifa,jaffa,jerusalem	rothschild	
1944-10-18	ahr	ahr19441018-01.1.4	mixed	4	haifa,jaffa	hadassah	
1944-11-15	haretz	haretz19441115-01.1.2	other	3	jaffa,telaviv		
1945-01-23	haretz	haretz19450123-01.1.2	mixed	39	haifa,jaffa,jerusalem,nablus,telaviv	hadassah,rothschild	
1945-02-18	dav	dav19450218-01.1.2	other	5	jaffa		
1945-02-19	dav	dav19450219-01.1.1	other	2	jaffa	hadassah	
1945-03-12	dav	dav19450312-01.1.2	untowned	5		hadassah	
1945-07-12	haretz	haretz19450712-01.1.3	other	4	jaffa		
1945-07-25	hegeh	hegeh19450725-01.1.4	no_hospital_term	0			
1945-10-15	haretz	haretz19451015-01.1.3	other	3	telaviv	rothschild	
1945-12-11	hegeh	hegeh19451211-01.1.4	haifa	3	haifa		
1945-12-17	dav	dav19451217-01.1.3	untowned	2			
1945-12-26	hmf	hmf19451226-01.1.4	mixed	8	haifa,jaffa,jerusalem	hadassah	
1946-02-13	dav	dav19460213-01.1.2	mixed	3	haifa,telaviv		
1946-03-03	haretz	haretz19460303-01.1.2	other	4	jaffa	english	
1946-03-19	ahr	ahr19460319-01.1.4	other	2	jaffa		
1946-06-16	haretz	haretz19460616-01.1.3	untowned	4		hadassah	
1946-06-17	hayal	hayal19460617-01.1.4	other	3	jerusalem	hadassah	
1946-06-20	hmf	hmf19460620-01.1.4	mixed	5	acre,haifa,jaffa,jerusalem,telaviv	hadassah	
1946-07-04	hmf	hmf19460704-01.1.4	mixed	5	haifa,jaffa,jerusalem	hadassah	
1946-07-15	hzh	hzh19460715-01.1.4	mixed	4	haifa,jaffa	english,rothschild	
1946-07-23	haretz	haretz19460723-01.1.3	other	11	jaffa,jerusalem,telaviv	rothschild	
1946-07-29	haretz	haretz19460729-01.1.3	other	8	acre	english,rothschild	
1946-08-25	dav	dav19460825-01.1.3	haifa	2	haifa		
1946-10-28	hbkr	hbkr19461028-01.1.3	other	4	telaviv,tiberias	hadassah	
1946-10-29	dav	dav19461029-01.1.3	mixed	3	haifa,telaviv		
1946-11-05	hbkr	hbkr19461105-01.1.2	other	10	jaffa,jerusalem,safed,telaviv	english	
1946-11-22	haretz	haretz19461122-01.1.6	other	6	jaffa,jerusalem,telaviv	hadassah	
1946-12-01	dav	dav19461201-01.1.3	untowned	1			
1946-12-03	haretz	haretz19461203-01.1.4	mixed	5	gaza,haifa,jaffa,jerusalem,telaviv		
1946-12-06	hmf	hmf19461206-01.1.12	other	7	jaffa,safed,telaviv	hadassah	
1946-12-08	dav	dav19461208-01.1.1	mixed	2	haifa,jaffa,telaviv		
1946-12-09	haretz	haretz19461209-01.1.3	haifa	3	haifa	rothschild	
1946-12-30	hzh	hzh19461230-01.1.4	untowned	1		rothschild	
1947-01-24	hzh	hzh19470124-01.1.8	other	2	jerusalem		
1947-02-07	hbkr	hbkr19470207-01.1.8	mixed	3	haifa,telaviv	rothschild	
1947-02-09	ahr	ahr19470209-01.1.3	haifa	6	haifa		
1947-02-24	ahr	ahr19470224-01.1.4	haifa	4	haifa	rothschild	
1947-02-24	hzh	hzh19470224-01.1.4	other	7	gaza,jaffa,telaviv	hadassah	
1947-02-25	haretz	haretz19470225-01.1.4	untowned	2			
1947-03-10	dav	dav19470310-01.1.1	other	4	jaffa,telaviv	hadassah	
1947-03-23	haretz	haretz19470323-01.1.1	mixed	4	haifa,jaffa	rothschild	
1947-04-18	hegeh	hegeh19470418-01.1.2	other	3	jaffa,jerusalem,safed		
1947-04-25	hbkr	hbkr19470425-01.1.1	untowned	3			
1947-05-23	haretz	haretz19470523-01.1.8	other	4	jerusalem,telaviv	hadassah	
1947-05-26	hzh	hzh19470526-01.1.4	mixed	6	haifa,jaffa,jerusalem	hadassah,rothschild	
1947-06-20	haretz	haretz19470620-01.1.4	other	3	jerusalem		
1947-06-30	haretz	haretz19470630-01.1.1	mixed	9	haifa,telaviv	rothschild	
1947-07-08	dav	dav19470708-01.1.3	other	4	telaviv	rothschild	
1947-07-09	hbkr	hbkr19470709-01.1.3	haifa	2	haifa	hadassah	
1947-07-18	haretz	haretz19470718-01.1.4	other	10	jaffa,telaviv		
1947-08-04	hmf	hmf19470804-01.1.4	mixed	7	haifa,jaffa,jerusalem	hadassah	
1947-08-04	hzh	hzh19470804-01.1.3	untowned	1		hadassah	
1947-08-15	ahr	ahr19470815-01.1.5	other	6	jaffa,telaviv	rothschild	
1947-08-24	hmf	hmf19470824-01.1.1	untowned	1		hadassah	
1947-10-10	hmf	hmf19471010-01.1.2	untowned	3			
1947-11-07	hzh	hzh19471107-01.1.8	mixed	6	haifa,jaffa,jerusalem	rothschild	
1947-11-16	ahr	ahr19471116-01.1.3	untowned	2			
1947-12-05	itonamami	itonamami19471205-01.1.2	mixed	9	haifa,jaffa,telaviv	hadassah,rothschild	
1947-12-09	hmf	hmf19471209-01.1.4	mixed	7	gaza,haifa,jerusalem,nazareth	rothschild	
1947-12-19	hmf	hmf19471219-01.1.7	untowned	2		hadassah	
1947-12-28	hmf	hmf19471228-01.1.4	mixed	14	haifa,jaffa,jerusalem,telaviv	hadassah,rothschild	
1948-01-23	haretz	haretz19480123-01.1.7	mixed	8	haifa,jerusalem	hadassah	
1948-01-23	hmf	hmf19480123-01.1.1	other	2	telaviv	hadassah	
1948-01-25	hzh	hzh19480125-01.1.1	mixed	5	haifa,jaffa,nazareth		
1948-02-15	hmf	hmf19480215-01.1.3	other	6	jerusalem		
1948-02-19	hbkr	hbkr19480219-01.1.1	other	3	jaffa,jerusalem		
1948-02-25	hmf	hmf19480225-01.1.4	mixed	9	haifa,jaffa,jerusalem	hadassah,rothschild	
1948-03-04	dav	dav19480304-01.1.4	other	5	jaffa,nablus,telaviv		
1948-03-09	mar	mar19480309-01.1.8	other	1	jaffa,telaviv	english	
1948-03-12	dav	dav19480312-01.1.8	other	2	telaviv		
1948-03-14	hmf	hmf19480314-01.1.1	no_hospital_term	0			
1948-03-16	hayomjlm	hayomjlm19480316-01.1.4	other	3	gaza,jaffa	hadassah	
1948-04-14	haretz	haretz19480414-01.1.1	other	6	jerusalem	hadassah	
1948-04-16	hmf	hmf19480416-01.1.5	untowned	1			
1948-05-05	haretz	haretz19480505-01.1.2	other	3	telaviv		
1948-05-24	dav	dav19480524-01.1.3	mixed	4	haifa,jaffa,jerusalem,ramleh	hadassah	
1948-06-07	mar	mar19480607-01.1.3	untowned	2			
1948-08-15	haretz	haretz19480815-01.1.2	no_hospital_term	0			
1948-08-29	ahr	ahr19480829-01.1.3	mixed	4	haifa,jaffa	rothschild	
1948-09-03	hmf	hmf19480903-01.1.6	other	5	ramleh	hadassah	
1948-09-08	hbkr	hbkr19480908-01.1.4	untowned	1			
1948-09-09	khm	khm19480909-01.1.2	haifa	2	haifa		
1948-09-19	ahr	ahr19480919-01.1.1	mixed	8	haifa,jaffa,jerusalem	hadassah	
1948-10-26	dav	dav19481026-01.1.3	other	8	jerusalem,telaviv	hadassah	
1948-11-02	hzh	hzh19481102-01.1.3	untowned	3			
1948-11-11	hmf	hmf19481111-01.1.2	other	6	jaffa,jerusalem,telaviv	hadassah	
1948-11-21	dav	dav19481121-01.1.2	other	2	jaffa		
